t_recv_ns,t_s,t_stamp_ns,frame_id,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,quaternion.w,quaternion.x,quaternion.y,quaternion.z,rpy.x,rpy.y,rpy.z
3410001810368,0,0,,0.0009768259,-0.0022097961,0.0018242007,9.7938099,-0.39673701,1.0009151,0.73935801,-0.080270998,-0.665887,-0.059145,-0.37887631,-1.4626315,0.18109922
3410003811424,0.002001056,0,,0.0009768259,-0.0022097961,0.0018242007,9.7938099,-0.39673701,1.0009151,0.73935801,-0.080270998,-0.665887,-0.059145,-0.37887631,-1.4626315,0.18109922
3410007933664,0.006123296,0,,0.0009768259,-0.0022097961,0.0018242007,9.7938099,-0.39673701,1.0009151,0.73935801,-0.080270998,-0.665887,-0.059145,-0.37887631,-1.4626315,0.18109922
3410007985568,0.0061752,0,,0.0015293273,-0.0043937269,0.00079025021,9.742403,-0.406286,0.98597598,0.739353,-0.080271997,-0.66589302,-0.059142999,-0.37894938,-1.4626431,0.1811735
3410009831104,0.008020736,0,,0.0015293273,-0.0043937269,0.00079025021,9.742403,-0.406286,0.98597598,0.739353,-0.080271997,-0.66589302,-0.059142999,-0.37894938,-1.4626431,0.1811735
3410011789600,0.009979232,0,,0.0015293273,-0.0043937269,0.00079025021,9.742403,-0.406286,0.98597598,0.739353,-0.080271997,-0.66589302,-0.059142999,-0.37894938,-1.4626431,0.1811735
3410013784672,0.011974304,0,,0.0011511493,0.0003404963,0.00021804399,9.7590227,-0.41857901,0.99224699,0.73935097,-0.080274001,-0.66589499,-0.059142001,-0.3790121,-1.4626488,0.18123579
3410015684256,0.013873888,0,,0.0011511493,0.0003404963,0.00021804399,9.7590227,-0.41857901,0.99224699,0.73935097,-0.080274001,-0.66589499,-0.059142001,-0.3790121,-1.4626488,0.18123579
3410017788512,0.015978144,0,,-0.0006627015,0.0032806954,0.001218746,9.7242355,-0.43525898,0.98093599,0.73935699,-0.080274999,-0.66588902,-0.059142999,-0.37895943,-1.4626322,0.18117969
3410019828160,0.018017792,0,,-0.0006627015,0.0032806954,0.001218746,9.7242355,-0.43525898,0.98093599,0.73935699,-0.080274999,-0.66588902,-0.059142999,-0.37895943,-1.4626322,0.18117969
3410021760064,0.019949696,0,,-0.0006627015,0.0032806954,0.001218746,9.7242355,-0.43525898,0.98093599,0.73935699,-0.080274999,-0.66588902,-0.059142999,-0.37895943,-1.4626322,0.18117969
3410023783456,0.021973088,0,,0.0013683906,-0.0012763418,-0.00043259729,9.7403698,-0.40747601,0.9993,0.73936099,-0.080278002,-0.66588497,-0.059140999,-0.37899639,-1.4626194,0.18121586
3410025784000,0.023973632,0,,0.0013683906,-0.0012763418,-0.00043259729,9.7403698,-0.40747601,0.9993,0.73936099,-0.080278002,-0.66588497,-0.059140999,-0.37899639,-1.4626194,0.18121586
3410027816608,0.02600624,0,,0.00061409406,-0.0058881301,-0.0019685394,9.7479477,-0.40131599,0.99652201,0.73935598,-0.080277003,-0.66588998,-0.059142999,-0.37899535,-1.4626339,0.18121272
3410029867552,0.028057184,0,,0.00061409406,-0.0058881301,-0.0019685394,9.7479477,-0.40131599,0.99652201,0.73935598,-0.080277003,-0.66588998,-0.059142999,-0.37899535,-1.4626339,0.18121272
3410031785184,0.029974816,0,,0.00061409406,-0.0058881301,-0.0019685394,9.7479477,-0.40131599,0.99652201,0.73935598,-0.080277003,-0.66588998,-0.059142999,-0.37899535,-1.4626339,0.18121272
3410033782656,0.031972288,0,,0.0024766745,-0.0015791215,-0.0019797444,9.7689953,-0.44159201,0.97571099,0.73935002,-0.080271997,-0.665896,-0.059145,-0.37895611,-1.462652,0.18117868
3410035810464,0.034000096,0,,0.0024766745,-0.0015791215,-0.0019797444,9.7689953,-0.44159201,0.97571099,0.73935002,-0.080271997,-0.665896,-0.059145,-0.37895611,-1.462652,0.18117868
3410037812640,0.036002272,0,,0.0082558961,0.0021461965,0.00049253191,9.795577,-0.374008,1.013431,0.739353,-0.080264002,-0.66589499,-0.059137002,-0.37891576,-1.4626488,0.18116113
3410039869312,0.038058944,0,,0.0082558961,0.0021461965,0.00049253191,9.795577,-0.374008,1.013431,0.739353,-0.080264002,-0.66589499,-0.059137002,-0.37891576,-1.4626488,0.18116113
3410041804256,0.039993888,0,,0.0082558961,0.0021461965,0.00049253191,9.795577,-0.374008,1.013431,0.739353,-0.080264002,-0.66589499,-0.059137002,-0.37891576,-1.4626488,0.18116113
3410043805920,0.041995552,0,,0.0023496147,0.0039870476,-0.00078791142,9.8330698,-0.39394999,0.98038399,0.73936099,-0.080254003,-0.66588801,-0.059131999,-0.37879868,-1.4626299,0.18106574
3410045802368,0.043992,0,,0.0023496147,0.0039870476,-0.00078791142,9.8330698,-0.39394999,0.98038399,0.73936099,-0.080254003,-0.66588801,-0.059131999,-0.37879868,-1.4626299,0.18106574
3410047800288,0.04598992,0,,0.003272562,-0.0010844778,0.00072541121,9.8301449,-0.39531898,0.97631001,0.73936397,-0.080250002,-0.66588497,-0.059129998,-0.37875194,-1.4626222,0.18102701
