t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
3517914656800,0,1788965056827110371,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3517934694400,0.0200376,1788965056847109663,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3517954529184,0.039872384,1788965056867110513,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3517974660064,0.060003264,1788965056887110981,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3517994656480,0.07999968,1788965056907110778,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518014658816,0.10000202,1788965056927110148,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518034626784,0.11996998,1788965056947110092,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518054652288,0.13999549,1788965056967124906,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518074651936,0.15999514,1788965056987110517,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518094653792,0.17999699,1788965057007110207,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518114654144,0.19999734,1788965057027109902,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518134642048,0.21998525,1788965057047123574,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518154521376,0.23986458,1788965057067109915,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518174652064,0.25999526,1788965057087109913,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518194624192,0.27996739,1788965057107113829,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518214667008,0.30001021,1788965057127116336,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518234641536,0.31998474,1788965057147111209,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518254645792,0.33998899,1788965057167110026,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518274696640,0.36003984,1788965057187111102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518294688256,0.38003146,1788965057207110224,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518314631712,0.39997491,1788965057227110591,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518334656064,0.41999926,1788965057247110278,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518354515808,0.43985901,1788965057267109949,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518374645152,0.45998835,1788965057287110555,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518394650976,0.47999418,1788965057307124330,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518414631968,0.49997517,1788965057327110229,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518434615552,0.51995875,1788965057347110588,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518454642496,0.5399857,1788965057367109989,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518474641184,0.55998438,1788965057387110244,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518494637440,0.57998064,1788965057407110541,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518514637216,0.59998042,1788965057427110530,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518534633792,0.61997699,1788965057447110638,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518554502592,0.63984579,1788965057467110010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518574646848,0.65999005,1788965057487109949,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518594616416,0.67995962,1788965057507110253,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518614614464,0.69995766,1788965057527110713,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518634621280,0.71996448,1788965057547110016,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518654621088,0.73996429,1788965057567110240,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518674608736,0.75995194,1788965057587110213,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518694655008,0.77999821,1788965057607110549,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518714618752,0.79996195,1788965057627110002,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518734670048,0.82001325,1788965057647110894,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518754493792,0.83983699,1788965057667110155,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518774631616,0.85997482,1788965057687110295,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518794625376,0.87996858,1788965057707110029,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518814634144,0.89997734,1788965057727109926,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518834591424,0.91993462,1788965057747110205,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518854652160,0.93999536,1788965057767110197,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518874620832,0.95996403,1788965057787111061,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518894620448,0.97996365,1788965057807110195,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518914621120,0.99996432,1788965057827110469,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518934597600,1.0199408,1788965057847124746,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518954477888,1.0398211,1788965057867110377,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518974649536,1.0599927,1788965057887110258,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3518994598944,1.0799421,1788965057907110165,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3519014603776,1.099947,1788965057927110884,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3519034608544,1.1199517,1788965057947110489,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3519054609792,1.139953,1788965057967110095,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3519074586016,1.1599292,1788965057987110751,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
