t_recv_ns,t_s,t_stamp_ns,mos_temperature_0,mos_temperature_1,mos_temperature_2,mos_temperature_3,mos_temperature_4,mos_temperature_5,mos_temperature_6,mos_temperature_7,mos_temperature_8,mos_temperature_9,mos_temperature_10,mos_temperature_11,mos_temperature_12,mos_temperature_13,mos_temperature_14,mos_temperature_15,mos_temperature_16,mos_temperature_17,mos_temperature_18,mos_temperature_19,mos_temperature_20,mos_temperature_21,mos_temperature_22,mos_temperature_23,mos_temperature_24,motor_temperature_0,motor_temperature_1,motor_temperature_2,motor_temperature_3,motor_temperature_4,motor_temperature_5,motor_temperature_6,motor_temperature_7,motor_temperature_8,motor_temperature_9,motor_temperature_10,motor_temperature_11,motor_temperature_12,motor_temperature_13,motor_temperature_14,motor_temperature_15,motor_temperature_16,motor_temperature_17,motor_temperature_18,motor_temperature_19,motor_temperature_20,motor_temperature_21,motor_temperature_22,motor_temperature_23,motor_temperature_24,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7,tau_cmd_8,tau_cmd_9,tau_cmd_10,tau_cmd_11,tau_cmd_12,tau_cmd_13,tau_cmd_14,tau_cmd_15,tau_cmd_16,tau_cmd_17,tau_cmd_18,tau_cmd_19,tau_cmd_20,tau_cmd_21,tau_cmd_22,tau_cmd_23,tau_cmd_24
3517898510624,0,0,34.527351,32.883957,32.371254,30.686653,32.142365,32.911423,33.900208,33.268486,32.792404,30.141907,32.467384,32.3209,37.145798,38.944839,34.980545,33.259331,32.160675,31.991302,38.21698,34.280159,33.433281,33.360039,32.458229,38.354317,3427149.7,31.702904,29.716179,29.313347,28.713661,29.015793,29.203476,31.290916,30.137329,29.647514,28.123138,29.565117,29.061569,34.838638,37.013046,34.47242,31.277184,30.480659,29.761963,34.902725,31.886017,30.260933,31.226822,30.297554,34.916458,3427149.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,1.0849304,2.2201843,-1.002533,0.57220459,-0.38909912,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3427149.7
3517914644352,0.016133728,0,34.527351,32.883957,32.366676,30.695808,32.146942,32.906845,33.89563,33.273064,32.796982,30.151062,32.462807,32.3209,37.145798,38.935684,34.985123,33.259331,32.160675,31.991302,38.212402,34.271004,33.437859,33.360039,32.458229,38.354317,3427169.7,31.698326,29.716179,29.313347,28.722816,29.024948,29.189743,31.281761,30.137329,29.665825,28.118561,29.565117,29.070724,34.834061,37.017624,34.467842,31.268028,30.480659,29.757385,34.902725,31.876862,30.256355,31.226822,30.315865,34.916458,3427169.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.71868896,2.275116,-1.0666199,0.82855225,-0.059509277,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3427169.7
3517934677504,0.03616688,0,34.527351,32.883957,32.362099,30.691231,32.156097,32.906845,33.900208,33.277641,32.796982,30.151062,32.462807,32.311745,37.150375,38.935684,34.985123,33.259331,32.165253,31.986725,38.207825,34.280159,33.433281,33.355461,32.458229,38.358894,3427189.7,31.689171,29.720757,29.308769,28.718239,29.038681,29.208054,31.290916,30.128174,29.652092,28.127716,29.574272,29.107346,34.843216,37.017624,34.467842,31.300072,30.489815,29.771118,34.925613,31.876862,30.256355,31.226822,30.306709,34.91188,3427189.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.27008057,2.1011658,-0.41656494,0.83770752,-0.022888184,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3427189.7
3517954842112,0.056331488,0,34.527351,32.883957,32.366676,30.691231,32.146942,32.916,33.89563,33.273064,32.792404,30.141907,32.462807,32.3209,37.150375,38.935684,34.980545,33.263908,32.156097,31.991302,38.212402,34.280159,33.428703,33.355461,32.453651,38.358894,3427209.7,31.689171,29.720757,29.308769,28.727394,29.011215,29.185165,31.300072,30.137329,29.665825,28.118561,29.555962,29.07988,34.847794,36.999313,34.467842,31.286339,30.489815,29.761963,34.91188,31.881439,30.256355,31.245132,30.306709,34.91188,3427209.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.068664551,2.3208923,-0.70953369,0.65460205,0.2243042,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3427209.7
3517974648160,0.076137536,0,34.522774,32.883957,32.366676,30.686653,32.15152,32.906845,33.89563,33.273064,32.792404,30.146484,32.462807,32.316322,37.145798,38.931107,34.9897,33.259331,32.165253,31.986725,38.212402,34.280159,33.437859,33.360039,32.458229,38.345161,3427229.7,31.693748,29.711601,29.317924,28.731972,29.038681,29.189743,31.281761,30.128174,29.652092,28.113983,29.57885,29.07988,34.843216,37.026779,34.467842,31.286339,30.485237,29.766541,34.907303,31.886017,30.247192,31.222244,30.288399,34.916458,3427229.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.022888184,2.1194763,-0.59051514,0.93841553,0.16021729,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3427229.7
3517994647360,0.096136736,0,34.527351,32.879379,32.362099,30.691231,32.146942,32.916,33.89563,33.268486,32.792404,30.151062,32.458229,32.3209,37.14122,38.935684,34.980545,33.263908,32.160675,31.99588,38.221558,34.280159,33.433281,33.355461,32.458229,38.358894,3427249.7,31.684593,29.707024,29.317924,28.718239,29.029526,29.194321,31.272606,30.137329,29.665825,28.136871,29.555962,29.070724,34.829483,37.017624,34.454109,31.277184,30.471504,29.771118,34.930191,31.876862,30.238037,31.226822,30.306709,34.916458,3427249.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.40740967,2.009613,-0.12359619,0.80108643,-0.18768311,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3427249.7
3518014644704,0.11613408,0,34.527351,32.883957,32.371254,30.691231,32.15152,32.911423,33.900208,33.277641,32.796982,30.151062,32.467384,32.316322,37.150375,38.935684,34.985123,33.263908,32.160675,31.986725,38.21698,34.280159,33.433281,33.360039,32.453651,38.354317,3427269.7,31.702904,29.720757,29.308769,28.713661,29.029526,29.198898,31.277184,30.137329,29.679558,28.118561,29.569695,29.084457,34.847794,36.999313,34.467842,31.263451,30.457771,29.771118,34.91188,31.881439,30.274666,31.2314,30.320442,34.930191,3427269.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.5355835,1.7257996,-0.25177002,0.60882568,-0.20599365,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3427269.7
3518034617472,0.13610685,0,34.527351,32.888535,32.371254,30.691231,32.146942,32.906845,33.900208,33.268486,32.792404,30.15564,32.471962,32.311745,37.145798,38.940262,34.985123,33.259331,32.165253,31.986725,38.212402,34.275581,33.428703,33.360039,32.458229,38.358894,3427289.7,31.698326,29.716179,29.32708,28.731972,29.029526,29.198898,31.295494,30.146484,29.652092,28.127716,29.565117,29.089035,34.847794,37.008469,34.476997,31.286339,30.476082,29.766541,34.898148,31.867706,30.265511,31.222244,30.306709,34.921036,3427289.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.56304932,1.7898865,0.086975098,0.54473877,-0.16021729,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3427289.7
3518054842816,0.15633219,0,34.527351,32.883957,32.362099,30.691231,32.146942,32.911423,33.89563,33.277641,32.796982,30.15564,32.467384,32.316322,37.145798,38.935684,34.985123,33.263908,32.156097,31.982147,38.212402,34.280159,33.433281,33.355461,32.458229,38.349739,3427311.7,31.693748,29.716179,29.308769,28.709084,29.029526,29.17601,31.286339,30.132751,29.652092,28.123138,29.560539,29.066147,34.834061,36.999313,34.49073,31.268028,30.466927,29.752808,34.907303,31.867706,30.260933,31.217667,30.311287,34.921036,3427311.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.34332275,1.0940857,0.29754639,0.19683838,-0.04119873,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3427311.7
3518074641056,0.17613043,0,34.522774,32.883957,32.366676,30.691231,32.142365,32.906845,33.89563,33.273064,32.796982,30.151062,32.458229,32.3209,37.150375,38.926529,34.980545,33.263908,32.165253,31.991302,38.21698,34.280159,33.433281,33.355461,32.458229,38.354317,3427329.7,31.698326,29.716179,29.313347,28.722816,29.034103,29.180588,31.281761,30.132751,29.67498,28.132294,29.560539,29.089035,34.852371,36.990158,34.486153,31.295494,30.485237,29.761963,34.907303,31.881439,30.233459,31.240555,30.315865,34.921036,3427329.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.59051514,0.70037842,0.21514893,0.059509277,-0.2243042,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3427329.7
