t_recv_ns,t_s,t_stamp_ns,current_motion_task
3517954577248,0,0,joint_bridge
3518154556032,0.19997878,0,joint_bridge
3518354566656,0.39998941,0,joint_bridge
3518554555136,0.59997789,0,joint_bridge
3518754531296,0.79995405,0,joint_bridge
3518954511296,0.99993405,0,joint_bridge
3519154617632,1.2000404,0,joint_bridge
3519354509920,1.3999327,0,joint_bridge
3519554498624,1.5999214,0,joint_bridge
3519754635808,1.8000586,0,joint_bridge
3520965560416,3.0109832,0,joint_bridge
3520965601824,3.0110246,0,joint_bridge
3520965622432,3.0110452,0,joint_bridge
3520965640832,3.0110636,0,joint_bridge
3520965658720,3.0110815,0,joint_bridge
3520965677056,3.0110998,0,joint_bridge
3521154443744,3.1998665,0,joint_bridge
3521354488960,3.3999117,0,joint_bridge
3521554457888,3.5998806,0,joint_bridge
3521754441216,3.799864,0,joint_bridge
3521954399328,3.9998221,0,joint_bridge
3522154459520,4.1998823,0,joint_bridge
3522354375168,4.3997979,0,joint_bridge
3522554383040,4.5998058,0,joint_bridge
3522754363360,4.7997861,0,joint_bridge
3522954443072,4.9998658,0,joint_bridge
3523154346560,5.1997693,0,joint_bridge
3523354327936,5.3997507,0,joint_bridge
3523554328704,5.5997515,0,joint_bridge
3523754296032,5.7997188,0,joint_bridge
3523954285888,5.9997086,0,joint_bridge
3524154393440,6.1998162,0,joint_bridge
3524354262048,6.3996848,0,joint_bridge
3524554291392,6.5997141,0,joint_bridge
3524754284928,6.7997077,0,joint_bridge
3524954244416,6.9996672,0,joint_bridge
3525154231328,7.1996541,0,joint_bridge
3525354258752,7.3996815,0,joint_bridge
3525554219424,7.5996422,0,joint_bridge
3525754235168,7.7996579,0,joint_bridge
3525954316224,7.999739,0,joint_bridge
3526154195232,8.199618,0,joint_bridge
3526354182496,8.3996052,0,joint_bridge
3526554168672,8.5995914,0,joint_bridge
3526754150368,8.7995731,0,joint_bridge
3526954187488,8.9996102,0,joint_bridge
3527154133984,9.1995567,0,joint_bridge
