t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
3620189785888,0,1788965159107111709,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620209780800,0.019994912,1788965159127111203,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620229903104,0.040117216,1788965159147124167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620249795680,0.060009792,1788965159167110290,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620269767904,0.079982016,1788965159187110389,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620289791936,0.10000605,1788965159207111323,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620309792512,0.12000662,1788965159227110248,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620329820096,0.14003421,1788965159247109911,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620349646304,0.15986042,1788965159267110654,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620369782656,0.17999677,1788965159287110763,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620389753312,0.19996742,1788965159307109962,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620409774624,0.21998874,1788965159327110478,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620429895392,0.2401095,1788965159347110687,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620449757408,0.25997152,1788965159367110085,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620469791488,0.2800056,1788965159387110272,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620489736384,0.2999505,1788965159407110111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620509759072,0.31997318,1788965159427110033,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620529903200,0.34011731,1788965159447110417,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620549661120,0.35987523,1788965159467110088,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620569762112,0.37997622,1788965159487110646,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620589750080,0.39996419,1788965159507110345,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620609741216,0.41995533,1788965159527110632,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620629765120,0.43997923,1788965159547110096,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620649759232,0.45997334,1788965159567110303,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3620669737056,0.47995117,1788965159587113134,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
