t_recv_ns,t_s,t_stamp_ns,frame_id,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,quaternion.w,quaternion.x,quaternion.y,quaternion.z,rpy.x,rpy.y,rpy.z
3620177878400,0,0,,0.003145956,-0.0010392563,-0.0022037923,9.8198328,-0.28923801,1.01911,0.73942602,-0.081132002,-0.66560197,-0.060325,-0.37506776,-1.4622734,0.17438497
3620179665568,0.001787168,0,,0.003145956,-0.0010392563,-0.0022037923,9.8198328,-0.28923801,1.01911,0.73942602,-0.081132002,-0.66560197,-0.060325,-0.37506776,-1.4622734,0.17438497
3620184279968,0.006401568,0,,0.0070681471,0.0025446725,-0.0040627251,9.8319254,-0.48577201,0.930035,0.73943102,-0.081110999,-0.66559899,-0.06033,-0.37468902,-1.4622728,0.17402826
3620184320832,0.006442432,0,,0.0070681471,0.0025446725,-0.0040627251,9.8319254,-0.48577201,0.930035,0.73943102,-0.081110999,-0.66559899,-0.06033,-0.37468902,-1.4622728,0.17402826
3620185764192,0.007885792,0,,0.0070681471,0.0025446725,-0.0040627251,9.8319254,-0.48577201,0.930035,0.73943102,-0.081110999,-0.66559899,-0.06033,-0.37468902,-1.4622728,0.17402826
3620187776352,0.009897952,0,,0.0046572888,-0.0025090853,0.00014634585,9.828249,-0.37276,0.95527297,0.73943001,-0.081101,-0.66560197,-0.060320001,-0.37469701,-1.462278,0.17406411
3620189939456,0.012061056,0,,0.0046572888,-0.0025090853,0.00014634585,9.828249,-0.37276,0.95527297,0.73943001,-0.081101,-0.66560197,-0.060320001,-0.37469701,-1.462278,0.17406411
3620191802176,0.013923776,0,,-0.0031217832,-0.0062708284,-0.0004955688,9.79531,-0.276297,1.035465,0.73942101,-0.081101,-0.66561198,-0.060320001,-0.37475633,-1.462303,0.17412448
3620193779936,0.015901536,0,,-0.0031217832,-0.0062708284,-0.0004955688,9.79531,-0.276297,1.035465,0.73942101,-0.081101,-0.66561198,-0.060320001,-0.37475633,-1.462303,0.17412448
3620195842368,0.017963968,0,,0.0032310407,0.00052164401,-1.9198622e-06,9.7474022,-0.46028399,0.98311698,0.73941898,-0.081098996,-0.66561401,-0.06033,-0.37463583,-1.4623134,0.17399322
3620197779584,0.019901184,0,,0.0032310407,0.00052164401,-1.9198622e-06,9.7474022,-0.46028399,0.98311698,0.73941898,-0.081098996,-0.66561401,-0.06033,-0.37463583,-1.4623134,0.17399322
3620199753088,0.021874688,0,,0.0032310407,0.00052164401,-1.9198622e-06,9.7474022,-0.46028399,0.98311698,0.73941898,-0.081098996,-0.66561401,-0.06033,-0.37463583,-1.4623134,0.17399322
3620201782112,0.023903712,0,,0.0047731613,0.0017241759,-0.00089184577,9.7425385,-0.437125,0.97326201,0.73942399,-0.081092,-0.66561002,-0.060323,-0.37459185,-1.4623007,0.17396755
3620203786016,0.025907616,0,,0.0047731613,0.0017241759,-0.00089184577,9.7425385,-0.437125,0.97326201,0.73942399,-0.081092,-0.66561002,-0.060323,-0.37459185,-1.4623007,0.17396755
3620205773856,0.027895456,0,,0.0030450935,0.0027194849,-0.00018451622,9.6541758,-0.410281,1.004784,0.739429,-0.081087001,-0.66560501,-0.060316,-0.37457384,-1.4622877,0.17396657
3620207655872,0.029777472,0,,0.0030450935,0.0027194849,-0.00018451622,9.6541758,-0.410281,1.004784,0.739429,-0.081087001,-0.66560501,-0.060316,-0.37457384,-1.4622877,0.17396657
3620209837664,0.031959264,0,,0.0030450935,0.0027194849,-0.00018451622,9.6541758,-0.410281,1.004784,0.739429,-0.081087001,-0.66560501,-0.060316,-0.37457384,-1.4622877,0.17396657
3620211745728,0.033867328,0,,0.0046917939,0.0025407805,0.0013462074,9.7516174,-0.42482001,1.011009,0.73943597,-0.081081003,-0.66559798,-0.060311001,-0.37450114,-1.4622673,0.17391059
3620213780256,0.035901856,0,,0.0046917939,0.0025407805,0.0013462074,9.7516174,-0.42482001,1.011009,0.73943597,-0.081081003,-0.66559798,-0.060311001,-0.37450114,-1.4622673,0.17391059
3620215812864,0.037934464,0,,-0.0013082988,0.00025577799,0.0009968448,9.697135,-0.42762601,1.020735,0.73944199,-0.081079997,-0.66559201,-0.060302999,-0.37453932,-1.4622496,0.17396103
3620217785856,0.039907456,0,,-0.0013082988,0.00025577799,0.0009968448,9.697135,-0.42762601,1.020735,0.73944199,-0.081079997,-0.66559201,-0.060302999,-0.37453932,-1.4622496,0.17396103
3620219749376,0.041870976,0,,-0.0013082988,0.00025577799,0.0009968448,9.697135,-0.42762601,1.020735,0.73944199,-0.081079997,-0.66559201,-0.060302999,-0.37453932,-1.4622496,0.17396103
