t_recv_ns,t_s,t_stamp_ns,frame_id,position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,position_11,position_12,position_13,position_14,position_15,position_16,position_17,position_18,position_19,position_20,position_21,position_22,position_23,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,torque_12,torque_13,torque_14,torque_15,torque_16,torque_17,torque_18,torque_19,torque_20,torque_21,torque_22,torque_23,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,velocity_7,velocity_8,velocity_9,velocity_10,velocity_11,velocity_12,velocity_13,velocity_14,velocity_15,velocity_16,velocity_17,velocity_18,velocity_19,velocity_20,velocity_21,velocity_22,velocity_23
3620180076608,0,0,,-0.10128212,-0.25616074,0.23556137,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25844955,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.6039143,0.037957191,-2.3592358,-0.6273365,0.51327515,0.36831474,-0.25577927,-0.16079235,-0.3801403,-1.744297,0.061989784,-0.0045776367,0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.01373291,0.0045776367,0.00045901138,0.0068626046,0.0045776367,-4.8294678,1.3870544,1.1398621,-0.23345947,-0.56304932,0.0045776367,0.0045776367,-0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,-0.00068664551,-0.00068664551,0.00068664551,5.254031e-05,0.002685012,-0.0048065186,-0.0020599365,0.00068664551,-0.0048065186,0.00088108153,0.00085710911,0.0048065186,-0.55687714,0.2547493,2.0043488,-5.173954,-5.5351334,-0.0089263916,-0.0020599365,0.00068664551,0.0020599365,-0.0020599365,-0.0048065186
3620184286592,0.004209984,0,,-0.10128212,-0.25616074,0.23556137,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25844955,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.6027699,0.038338661,-2.3550396,-0.63763618,0.50259399,0.36831474,-0.25577927,-0.16079235,-0.3801403,-1.744297,0.061989784,0.01373291,-0.0045776367,-0.0045776367,-0.0045776367,-0.012428109,0.00024319321,0.0045776367,-0.0045776367,0.022888184,-0.0045776367,-0.01427008,2.9099999e-07,-0.022888184,-4.9118652,1.4694519,1.2680359,-0.27923584,-0.54473877,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,-0.0020599365,-0.0020599365,0.00068664551,-0.00099488563,0.00085655177,-0.0020599365,0.00068664551,-0.0034332275,0.00068664551,-0.0017620697,0.0028659807,-0.0048065186,-0.6255455,0.29045486,1.9741364,-5.1396217,-5.5200272,0.0020599365,0.00068664551,-0.00068664551,0.0020599365,-0.0034332275,-0.0048065186
3620184325088,0.00424848,0,,-0.10128212,-0.25616074,0.23556137,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25844955,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.601244,0.039101601,-2.3512249,-0.64831734,0.49153137,0.36831474,-0.25577927,-0.16079235,-0.3801403,-1.744297,0.061989784,0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.012428109,-0.00024319321,0.0045776367,0.0045776367,0.01373291,0.0045776367,0.00045901138,0.0068626046,0.0045776367,-4.8935547,1.5243835,1.2131042,-0.23345947,-0.58135986,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,0.00068664551,0.00068664551,0.0020599365,-0.0013784911,0.0071023537,0.00068664551,0.00068664551,-0.0034332275,-0.00068664551,5.6040518e-08,0.0027481193,-0.0034332275,-0.65438461,0.3000679,2.0345612,-5.1519814,-5.4856949,0.0020599365,0.00068664551,0.0020599365,0.0020599365,0.00068664551,0.00068664551
3620186008064,0.005931456,0,,-0.10128212,-0.25616074,0.23556137,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25844955,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5997181,0.03948307,-2.3470287,-0.65861797,0.48046875,0.36831474,-0.25577927,-0.16079235,-0.3801403,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.022888184,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.022888184,0.0045776367,0.00045901138,0.0068626046,0.0045776367,-4.7196045,1.5426941,1.1581726,-0.31585693,-0.58135986,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,0.00068664551,-0.0020599365,0.00068664551,-0.00095985876,0.0026465598,0.0048065186,-0.0020599365,-0.0034332275,0.00068664551,-0.00044049406,0.0018615449,0.0048065186,-0.75051498,0.33165359,2.0318146,-5.1231384,-5.4705887,0.0034332275,0.00068664551,0.0034332275,-0.0020599365,0.0020599365,-0.0020599365
3620188001504,0.007924896,0,,-0.10128212,-0.25616074,0.23556137,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25844955,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5981922,0.04024601,-2.3432131,-0.66853619,0.4697876,0.36831474,-0.25577927,-0.16079235,-0.3801403,-1.744297,0.061989784,-0.0045776367,-0.0045776367,-0.0045776367,0.0045776367,-0.024589242,-0.0065427475,-0.01373291,0.01373291,0.01373291,0.01373291,0.00045901138,0.0068626046,-0.01373291,-4.8294678,1.5884705,1.304657,-0.26092529,-0.56304932,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.00068664551,0.00068664551,0.0020599365,-0.0020599365,0.0035784236,0.0019245909,0.0020599365,-0.00068664551,0.0034332275,0.00068664551,-0.00044053142,2.9465334e-05,0.00068664551,-0.80681992,0.34538651,2.0592804,-5.1176453,-5.4142838,0.00068664551,0.0020599365,0.00068664551,0.00068664551,0.0034332275,-0.0061798096
3620190223584,0.010146976,0,,-0.10128212,-0.25616074,0.23556137,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25844955,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.594759,0.041771889,-2.3348207,-0.68875408,0.44804287,0.36831474,-0.25577927,-0.16079235,-0.3801403,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.0045776367,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.00045901138,0.0068626046,-0.022888184,-4.7745361,1.6434021,1.4694519,-0.31585693,-0.6362915,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.00068664551,-0.0020599365,0.0034332275,0.0020599365,0.00047117266,-0.0017707819,0.00068664551,-0.0020599365,-0.00068664551,-0.0048065186,-0.001762107,0.0010339011,0.00068664551,-0.9029541,0.40444183,2.0606537,-5.1245117,-5.3552284,-0.00068664551,-0.0020599365,0.00068664551,-0.00068664551,-0.0020599365,-0.0034332275
3620192004416,0.011927808,0,,-0.10128212,-0.25616074,0.23556137,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25844955,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.594759,0.041771889,-2.3348207,-0.68875408,0.44804287,0.36831474,-0.25577927,-0.16079235,-0.3801403,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.0045776367,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.00045901138,0.0068626046,-0.022888184,-4.7745361,1.6434021,1.4694519,-0.31585693,-0.6362915,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.00068664551,-0.0020599365,0.0034332275,0.0020599365,0.00047117266,-0.0017707819,0.00068664551,-0.0020599365,-0.00068664551,-0.0048065186,-0.001762107,0.0010339011,0.00068664551,-0.9029541,0.40444183,2.0606537,-5.1245117,-5.3552284,-0.00068664551,-0.0020599365,0.00068664551,-0.00068664551,-0.0020599365,-0.0034332275
3620193994176,0.013917568,0,,-0.10128212,-0.25616074,0.23556137,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25844955,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5932322,0.042534828,-2.3306246,-0.69905376,0.43736172,0.36831474,-0.25577927,-0.16079235,-0.3801403,-1.744297,0.061989784,0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,-0.022888184,-0.0045776367,0.022888184,-0.0045776367,0.01427008,-2.9099999e-07,-0.0045776367,-4.8752441,1.6525574,1.2131042,-0.14190674,-0.44403076,-0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,-0.0034332275,0.00068664551,0.0020599365,0.00099488563,-0.00085655177,-0.00068664551,-0.0034332275,0.0020599365,0.0020599365,0.0013216316,0.0017436836,0.00068664551,-0.95239258,0.42366791,2.1100922,-5.0997925,-5.3511086,0.0034332275,-0.00068664551,-0.00068664551,-0.00068664551,0.0020599365,-0.00068664551
3620195962656,0.015886048,0,,-0.10128212,-0.25616074,0.23556137,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25844955,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.5909433,0.043679237,-2.3264284,-0.70973492,0.42668056,0.36831474,-0.25577927,-0.16079235,-0.3801403,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.012428109,0.00024319321,0.0045776367,-0.0045776367,0.0045776367,0.0045776367,0.00045901138,0.0068626046,-0.022888184,-4.8660889,1.7441101,1.2131042,-0.10528564,-0.6362915,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,-0.00068664551,0.0020599365,-0.00068664551,-0.00095985876,0.0026465598,0.00068664551,-0.0034332275,0.0034332275,-0.00068664551,-0.0013215569,0.0019204756,-0.00068664551,-1.0128174,0.45113373,2.1128387,-5.0695801,-5.3099098,0.0020599365,0.0020599365,0.0061798096,-0.0034332275,0.00068664551,-0.00068664551
3620197988672,0.017912064,0,,-0.10128212,-0.25616074,0.23556137,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25844955,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,1.589036,0.044442177,-2.3222322,-0.71965408,0.41599941,0.36831474,-0.25577927,-0.16079235,-0.3801403,-1.744297,0.061989784,0.022888184,-0.0045776367,0.022888184,0.0045776367,-0.00026697575,0.0070291339,-0.022888184,-0.0045776367,0.01373291,-0.0045776367,0.00045901138,0.0068626046,-0.022888184,-5.2140198,1.8356628,1.3870544,-0.39825439,-0.62713623,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,-0.0034332275,-0.00068664551,0.0020599365,0.00099488563,-0.00085655177,0.00068664551,0.0020599365,0.00068664551,0.0020599365,0.00044049406,-0.0018615449,-0.0061798096,-1.124054,0.50331879,2.2075996,-5.1918068,-5.3868179,0.0075531006,0.0020599365,0.0020599365,-0.0034332275,0.0020599365,-0.00068664551
