t_recv_ns,t_s,t_stamp_ns,mos_temperature_0,mos_temperature_1,mos_temperature_2,mos_temperature_3,mos_temperature_4,mos_temperature_5,mos_temperature_6,mos_temperature_7,mos_temperature_8,mos_temperature_9,mos_temperature_10,mos_temperature_11,mos_temperature_12,mos_temperature_13,mos_temperature_14,mos_temperature_15,mos_temperature_16,mos_temperature_17,mos_temperature_18,mos_temperature_19,mos_temperature_20,mos_temperature_21,mos_temperature_22,mos_temperature_23,mos_temperature_24,motor_temperature_0,motor_temperature_1,motor_temperature_2,motor_temperature_3,motor_temperature_4,motor_temperature_5,motor_temperature_6,motor_temperature_7,motor_temperature_8,motor_temperature_9,motor_temperature_10,motor_temperature_11,motor_temperature_12,motor_temperature_13,motor_temperature_14,motor_temperature_15,motor_temperature_16,motor_temperature_17,motor_temperature_18,motor_temperature_19,motor_temperature_20,motor_temperature_21,motor_temperature_22,motor_temperature_23,motor_temperature_24,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7,tau_cmd_8,tau_cmd_9,tau_cmd_10,tau_cmd_11,tau_cmd_12,tau_cmd_13,tau_cmd_14,tau_cmd_15,tau_cmd_16,tau_cmd_17,tau_cmd_18,tau_cmd_19,tau_cmd_20,tau_cmd_21,tau_cmd_22,tau_cmd_23,tau_cmd_24
3620189801408,0,0,34.733345,33.099106,32.504005,30.846878,32.316322,33.099106,34.110779,33.479057,32.934311,30.283821,32.623024,32.485695,37.37011,39.480431,35.561913,33.497368,32.371254,32.284279,38.445869,34.449532,33.662163,33.524834,32.627602,38.596931,3529449.7,31.858551,29.853516,29.414055,28.814377,29.148544,29.340813,31.483177,30.292976,29.780273,28.205536,29.707024,29.212631,35.021744,37.933167,35.712975,31.643394,30.750748,30.041199,35.149918,32.0737,30.457771,31.428246,30.476082,35.168228,3529449.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.6097412,-1.3870544,-0.75531006,0.15106201,0.25177002,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3529449.7
3620209795520,0.019994112,0,34.72419,33.099106,32.499428,30.8423,32.3209,33.099106,34.110779,33.47448,32.943466,30.283821,32.623024,32.485695,37.37011,39.480431,35.557335,33.501945,32.371254,32.279701,38.441292,34.458687,33.662163,33.529411,32.627602,38.592354,3529469.7,31.858551,29.862671,29.42321,28.823532,29.162277,29.363701,31.4786,30.297554,29.780273,28.219269,29.697868,29.212631,35.021744,37.914856,35.708397,31.620506,30.759903,30.032043,35.177383,32.0737,30.471504,31.446556,30.49897,35.172806,3529469.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.5731201,-1.6891785,-0.74615479,0.27008057,0.28839111,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3529469.7
3620229932864,0.040131456,0,34.72419,33.099106,32.504005,30.8423,32.3209,33.094528,34.115356,33.47448,32.948044,30.283821,32.627602,32.481117,37.365532,39.489586,35.552757,33.506523,32.362099,32.284279,38.441292,34.454109,33.657585,33.520256,32.632179,38.601509,3529489.7,31.872284,29.858093,29.427788,28.82811,29.162277,29.349968,31.483177,30.297554,29.780273,28.200958,29.693291,29.226364,35.017166,37.933167,35.699242,31.638817,30.764481,30.032043,35.14534,32.0737,30.466927,31.451134,30.485237,35.163651,3529489.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.8660889,-2.275116,-0.91094971,0.13275146,0.086975098,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3529489.7
3620249814592,0.060013184,0,34.728767,33.099106,32.499428,30.837723,32.3209,33.099106,34.106201,33.47448,32.948044,30.283821,32.623024,32.481117,37.374687,39.480431,35.557335,33.497368,32.371254,32.284279,38.450447,34.449532,33.66674,33.524834,32.632179,38.596931,3529509.7,31.867706,29.862671,29.436943,28.823532,29.166855,29.359123,31.469444,30.306709,29.780273,28.223846,29.684135,29.212631,35.026321,37.942322,35.699242,31.643394,30.778214,30.022888,35.14534,32.09201,30.444038,31.437401,30.476082,35.163651,3529509.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-3.6209717,-1.8448181,-0.93841553,-0.59051514,0.30670166,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3529509.7
3620269785472,0.079984064,0,34.728767,33.094528,32.499428,30.846878,32.3209,33.103683,34.110779,33.47448,32.948044,30.283821,32.623024,32.481117,37.365532,39.480431,35.552757,33.501945,32.366676,32.279701,38.445869,34.458687,33.662163,33.524834,32.627602,38.601509,3529529.7,31.863129,29.853516,29.414055,28.823532,29.148544,29.359123,31.49691,30.306709,29.784851,28.214691,29.702446,29.217209,35.026321,37.928589,35.712975,31.629662,30.769058,30.027466,35.159073,32.0737,30.462349,31.441978,30.503548,35.149918,3529529.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-3.0075684,-2.1377869,-0.87432861,-1.002533,0.19683838,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3529529.7
3620289804992,0.10000358,0,34.728767,33.103683,32.504005,30.8423,32.325478,33.103683,34.115356,33.479057,32.943466,30.283821,32.623024,32.485695,37.37011,39.485008,35.552757,33.506523,32.366676,32.275124,38.445869,34.454109,33.662163,33.524834,32.632179,38.601509,3529549.7,31.863129,29.858093,29.42321,28.809799,29.171432,29.34539,31.483177,30.302132,29.780273,28.210114,29.693291,29.212631,35.040054,37.933167,35.694664,31.65255,30.764481,30.022888,35.159073,32.087433,30.444038,31.437401,30.489815,35.149918,3529549.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-2.5497742,-1.6617126,-0.78277588,-1.3778992,0.38909912,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3529549.7
3620309807424,0.12000602,0,34.733345,33.099106,32.508583,30.837723,32.3209,33.103683,34.110779,33.47448,32.943466,30.283821,32.627602,32.481117,37.365532,39.480431,35.557335,33.506523,32.366676,32.279701,38.445869,34.458687,33.657585,33.529411,32.627602,38.601509,3529569.7,31.844818,29.858093,29.427788,28.818954,29.148544,29.34539,31.469444,30.292976,29.757385,28.219269,29.697868,29.217209,35.012589,37.928589,35.717552,31.634239,30.755325,30.036621,35.163651,32.078278,30.466927,31.428246,30.494392,35.159073,3529569.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-2.3483582,-1.6983337,-0.85601807,-1.3962097,0.35247803,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3529569.7
3620329848320,0.14004691,0,34.728767,33.099106,32.499428,30.837723,32.3209,33.099106,34.110779,33.479057,32.948044,30.283821,32.627602,32.481117,37.37011,39.480431,35.557335,33.506523,32.362099,32.284279,38.441292,34.454109,33.662163,33.524834,32.632179,38.606087,3529589.7,31.872284,29.858093,29.42321,28.832687,29.171432,29.336235,31.474022,30.302132,29.784851,28.205536,29.702446,29.221786,35.026321,37.942322,35.712975,31.643394,30.769058,30.032043,35.149918,32.055389,30.453194,31.428246,30.480659,35.163651,3529589.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-1.8997498,-1.6800232,-1.0208435,-1.4602966,0.44403076,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3529589.7
3620349973280,0.16017187,0,34.728767,33.108261,32.504005,30.851456,32.325478,33.094528,34.110779,33.47448,32.943466,30.279243,32.623024,32.490273,37.37011,39.480431,35.552757,33.506523,32.362099,32.284279,38.445869,34.463264,33.662163,33.529411,32.627602,38.596931,3529609.7,31.858551,29.867249,29.42321,28.82811,29.1577,29.34539,31.474022,30.279243,29.771118,28.200958,29.697868,29.217209,35.026321,37.928589,35.726707,31.625084,30.769058,30.018311,35.140762,32.064545,30.453194,31.437401,30.480659,35.14534,3529609.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-1.5793152,-1.3595886,-0.84686279,-2.3300476,0.14190674,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3529609.7
3620369799328,0.17999792,0,34.72419,33.099106,32.504005,30.846878,32.3209,33.103683,34.110779,33.47448,32.948044,30.283821,32.627602,32.481117,37.365532,39.480431,35.552757,33.501945,32.366676,32.284279,38.445869,34.454109,33.662163,33.520256,32.632179,38.592354,3529629.7,31.863129,29.871826,29.42321,28.82811,29.166855,29.349968,31.4786,30.302132,29.775696,28.228424,29.688713,29.212631,35.026321,37.914856,35.699242,31.643394,30.782791,30.036621,35.191116,32.059967,30.457771,31.41909,30.480659,35.149918,3529629.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-1.5884705,-1.5426941,-0.72784424,-2.4399109,0.50811768,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,3529629.7
