t_recv_ns,t_s,t_stamp_ns,frame_id,error_code,startup_timestamp,error_message,node_name,node_status
3620749932320,0,1788965159667176662,,0,1.7889652e+18,,motion,running
3621749829472,0.99989715,1788965160667173652,,0,1.7889652e+18,,motion,running
3622749559456,1.9996271,1788965161667171323,,0,1.7889652e+18,,motion,running
3623749667168,2.9997348,1788965162667178612,,0,1.7889652e+18,,motion,running
3624749688320,3.999756,1788965163667178382,,0,1.7889652e+18,,motion,running
3625749653280,4.999721,1788965164667177173,,0,1.7889652e+18,,motion,running
3626749497504,5.9995652,1788965165667178726,,0,1.7889652e+18,,motion,running
3627749539136,6.9996068,1788965166667183721,,0,1.7889652e+18,,motion,running
3628749559648,7.9996273,1788965167667285315,,0,1.7889652e+18,,motion,running
3629749342592,8.9994103,1788965168667174757,,0,1.7889652e+18,,motion,running
3630749391392,9.9994591,1788965169667178876,,0,1.7889652e+18,,motion,running
3631749187488,10.999255,1788965170667177294,,0,1.7889652e+18,,motion,running
3632749249472,11.999317,1788965171667178128,,0,1.7889652e+18,,motion,running
3633749243744,12.999311,1788965172667178242,,0,1.7889652e+18,,motion,running
3634749195936,13.999264,1788965173667177472,,0,1.7889652e+18,,motion,running
3635749124768,14.999192,1788965174667179618,,0,1.7889652e+18,,motion,running
3636749113920,15.999182,1788965175667179255,,0,1.7889652e+18,,motion,running
3637749055168,16.999123,1788965176667178928,,0,1.7889652e+18,,motion,running
3638749012960,17.999081,1788965177667178762,,0,1.7889652e+18,,motion,running
3639749002944,18.999071,1788965178667178770,,0,1.7889652e+18,,motion,running
3640748943328,19.999011,1788965179667184480,,0,1.7889652e+18,,motion,running
