t_recv_ns,t_s,t_stamp_ns,current_motion_task
3620349687456,0,0,joint_bridge
3620549671200,0.19998374,0,joint_bridge
3620749648928,0.39996147,0,joint_bridge
3620949683104,0.59999565,0,joint_bridge
3621149629856,0.7999424,0,joint_bridge
3621349637632,0.99995018,0,joint_bridge
3621549613632,1.1999262,0,joint_bridge
3621749603296,1.3999158,0,joint_bridge
3621949628224,1.5999408,0,joint_bridge
3622149683904,1.7999964,0,joint_bridge
3622349611680,1.9999242,0,joint_bridge
3622549570944,2.1998835,0,joint_bridge
3622749550336,2.3998629,0,joint_bridge
3622949551712,2.5998643,0,joint_bridge
3623149548704,2.7998612,0,joint_bridge
3623349548832,2.9998614,0,joint_bridge
3623549545792,3.1998583,0,joint_bridge
3623749534560,3.3998471,0,joint_bridge
3623949494400,3.5998069,0,joint_bridge
3624149527200,3.7998397,0,joint_bridge
3624349510176,3.9998227,0,joint_bridge
3624549498464,4.199811,0,joint_bridge
3624749488032,4.3998006,0,joint_bridge
3624949468000,4.5997805,0,joint_bridge
3625149459744,4.7997723,0,joint_bridge
3625349547648,4.9998602,0,joint_bridge
3625549446848,5.1997594,0,joint_bridge
3625749432736,5.3997453,0,joint_bridge
3625949449856,5.5997624,0,joint_bridge
3626149401888,5.7997144,0,joint_bridge
3626349472576,5.9997851,0,joint_bridge
3626549384672,6.1996972,0,joint_bridge
3626749388672,6.3997012,0,joint_bridge
3626949387840,6.5997004,0,joint_bridge
3627149371424,6.799684,0,joint_bridge
3627349371680,6.9996842,0,joint_bridge
3627549425792,7.1997383,0,joint_bridge
3627749364896,7.3996774,0,joint_bridge
3627949320768,7.5996333,0,joint_bridge
3628149314112,7.7996267,0,joint_bridge
3628349403776,7.9997163,0,joint_bridge
3628549294272,8.1996068,0,joint_bridge
3628749377216,8.3996898,0,joint_bridge
3628949267840,8.5995804,0,joint_bridge
3629149335648,8.7996482,0,joint_bridge
3629349273440,8.999586,0,joint_bridge
3629549272032,9.1995846,0,joint_bridge
3629749241632,9.3995542,0,joint_bridge
3629949369920,9.5996825,0,joint_bridge
3630149228384,9.7995409,0,joint_bridge
3630349206208,9.9995188,0,joint_bridge
3630549191328,10.199504,0,joint_bridge
3630749182560,10.399495,0,joint_bridge
3630949179008,10.599492,0,joint_bridge
3631149166496,10.799479,0,joint_bridge
3631349229120,10.999542,0,joint_bridge
3631549148160,11.199461,0,joint_bridge
3631749147200,11.39946,0,joint_bridge
3631949148000,11.599461,0,joint_bridge
3632149130528,11.799443,0,joint_bridge
3632349121600,11.999434,0,joint_bridge
3632549148320,12.199461,0,joint_bridge
3632749130272,12.399443,0,joint_bridge
3632949078208,12.599391,0,joint_bridge
3633149099008,12.799412,0,joint_bridge
3633349170016,12.999483,0,joint_bridge
3633549086528,13.199399,0,joint_bridge
3633749227776,13.39954,0,joint_bridge
3633949065888,13.599378,0,joint_bridge
3634149032064,13.799345,0,joint_bridge
3634349162976,13.999476,0,joint_bridge
3634549010624,14.199323,0,joint_bridge
3634748994688,14.399307,0,joint_bridge
3634949002528,14.599315,0,joint_bridge
3635148996384,14.799309,0,joint_bridge
3635348967744,14.99928,0,joint_bridge
3635548951392,15.199264,0,joint_bridge
3635748943712,15.399256,0,joint_bridge
3635948932736,15.599245,0,joint_bridge
3636148932352,15.799245,0,joint_bridge
3636348929248,15.999242,0,joint_bridge
3636548914272,16.199227,0,joint_bridge
3636748895360,16.399208,0,joint_bridge
3636948885312,16.599198,0,joint_bridge
3637148879136,16.799192,0,joint_bridge
3637348951168,16.999264,0,joint_bridge
3637548878784,17.199191,0,joint_bridge
3637748862784,17.399175,0,joint_bridge
3637948843936,17.599156,0,joint_bridge
3638148822112,17.799135,0,joint_bridge
3638348823648,17.999136,0,joint_bridge
3638548810784,18.199123,0,joint_bridge
3638748822240,18.399135,0,joint_bridge
3638948788544,18.599101,0,joint_bridge
3639148770944,18.799083,0,joint_bridge
3639348800384,18.999113,0,joint_bridge
3639548758112,19.199071,0,joint_bridge
3639748763264,19.399076,0,joint_bridge
3639948777440,19.59909,0,joint_bridge
3640148772704,19.799085,0,joint_bridge
3640348859584,19.999172,0,joint_bridge
3640548733920,20.199046,0,joint_bridge
3640748754240,20.399067,0,joint_bridge
3640948708128,20.599021,0,joint_bridge
