t_recv_ns,t_s,t_stamp_ns,frame_id,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,quaternion.w,quaternion.x,quaternion.y,quaternion.z,rpy.x,rpy.y,rpy.z
21067206030176,0,0,,0.0038889775,0.0076026893,-0.0019494455,9.7179117,-0.32384899,1.323559,0.74857098,-0.115955,-0.64453697,-0.10376,-0.27311905,-1.4225262,-0.03973654
21067206086304,5.6128e-05,0,,0.0038889775,0.0076026893,-0.0019494455,9.7179117,-0.32384899,1.323559,0.74857098,-0.115955,-0.64453697,-0.10376,-0.27311905,-1.4225262,-0.03973654
21067207844864,0.001814688,0,,0.0024301441,0.0037627553,-0.002008298,9.6719131,-0.38064101,1.330798,0.74857801,-0.115943,-0.64453101,-0.103765,-0.27293455,-1.4225117,-0.039911647
21067209846208,0.003816032,0,,0.0024301441,0.0037627553,-0.002008298,9.6719131,-0.38064101,1.330798,0.74857801,-0.115943,-0.64453101,-0.103765,-0.27293455,-1.4225117,-0.039911647
21067211865952,0.005835776,0,,0.0031743874,-0.00046336747,0.00062283822,9.6408319,-0.349549,1.3297091,0.748577,-0.115937,-0.64453202,-0.103765,-0.27287358,-1.4225152,-0.039963395
21067213737824,0.007707648,0,,0.0031743874,-0.00046336747,0.00062283822,9.6408319,-0.349549,1.3297091,0.748577,-0.115937,-0.64453202,-0.103765,-0.27287358,-1.4225152,-0.039963395
21067215799200,0.009769024,0,,0.0031743874,-0.00046336747,0.00062283822,9.6408319,-0.349549,1.3297091,0.748577,-0.115937,-0.64453202,-0.103765,-0.27287358,-1.4225152,-0.039963395
21067218022208,0.011992032,0,,-0.00040146064,0.0022413169,0.0024939534,9.7191362,-0.33680999,1.341591,0.74857497,-0.115937,-0.64453501,-0.103764,-0.27288343,-1.4225226,-0.039951632
21067219908960,0.013878784,0,,-0.00040146064,0.0022413169,0.0024939534,9.7191362,-0.33680999,1.341591,0.74857497,-0.115937,-0.64453501,-0.103764,-0.27288343,-1.4225226,-0.039951632
21067221915200,0.015885024,0,,-0.0022288726,-0.0011436619,0.00083831656,9.6740761,-0.377491,1.337086,0.74857301,-0.115941,-0.64453697,-0.103766,-0.27291506,-1.4225278,-0.039928262
21067223863776,0.0178336,0,,-0.0022288726,-0.0011436619,0.00083831656,9.6740761,-0.377491,1.337086,0.74857301,-0.115941,-0.64453697,-0.103766,-0.27291506,-1.4225278,-0.039928262
21067225885664,0.019855488,0,,-0.0022288726,-0.0011436619,0.00083831656,9.6740761,-0.377491,1.337086,0.74857301,-0.115941,-0.64453697,-0.103766,-0.27291506,-1.4225278,-0.039928262
21067227831232,0.021801056,0,,-0.0029419792,-0.0018406067,-0.00071387457,9.7349358,-0.32240301,1.338655,0.74856597,-0.115948,-0.64454299,-0.103773,-0.27294605,-1.4225453,-0.039916865
21067229822400,0.023792224,0,,-0.0029419792,-0.0018406067,-0.00071387457,9.7349358,-0.32240301,1.338655,0.74856597,-0.115948,-0.64454299,-0.103773,-0.27294605,-1.4225453,-0.039916865
21067231887488,0.025857312,0,,0.0028025973,0.0015747408,0.0039890197,9.7458258,-0.39848,1.347424,0.74856198,-0.115946,-0.64454699,-0.103774,-0.27292298,-1.4225576,-0.039939136
21067233852320,0.027822144,0,,0.0028025973,0.0015747408,0.0039890197,9.7458258,-0.39848,1.347424,0.74856198,-0.115946,-0.64454699,-0.103774,-0.27292298,-1.4225576,-0.039939136
21067235821472,0.029791296,0,,0.0028025973,0.0015747408,0.0039890197,9.7458258,-0.39848,1.347424,0.74856198,-0.115946,-0.64454699,-0.103774,-0.27292298,-1.4225576,-0.039939136
21067238005984,0.031975808,0,,0.00020720549,0.0001001819,3.4592425e-05,9.7727747,-0.41444701,1.353068,0.74856102,-0.115949,-0.644548,-0.10377,-0.27299573,-1.4225588,-0.039865728
21067239898848,0.033868672,0,,0.00020720549,0.0001001819,3.4592425e-05,9.7727747,-0.41444701,1.353068,0.74856102,-0.115949,-0.644548,-0.10377,-0.27299573,-1.4225588,-0.039865728
21067241836512,0.035806336,0,,0.0010351373,-0.0030242891,-0.00055105283,9.8060684,-0.476311,1.36693,0.74855602,-0.115953,-0.64455301,-0.103771,-0.27302772,-1.422573,-0.039840474
21067243873728,0.037843552,0,,0.0010351373,-0.0030242891,-0.00055105283,9.8060684,-0.476311,1.36693,0.74855602,-0.115953,-0.64455301,-0.103771,-0.27302772,-1.422573,-0.039840474
21067245845952,0.039815776,0,,0.0010351373,-0.0030242891,-0.00055105283,9.8060684,-0.476311,1.36693,0.74855602,-0.115953,-0.64455301,-0.103771,-0.27302772,-1.422573,-0.039840474
21067247848224,0.041818048,0,,0.00399546,0.0033050079,-0.0036061121,9.7025928,-0.28262401,1.36792,0.74855298,-0.115952,-0.644557,-0.10377,-0.27304234,-1.4225818,-0.039823197
21067249808128,0.043777952,0,,0.00399546,0.0033050079,-0.0036061121,9.7025928,-0.28262401,1.36792,0.74855298,-0.115952,-0.644557,-0.10377,-0.27304234,-1.4225818,-0.039823197
21067251811552,0.045781376,0,,0.00399546,0.0033050079,-0.0036061121,9.7025928,-0.28262401,1.36792,0.74855298,-0.115952,-0.644557,-0.10377,-0.27304234,-1.4225818,-0.039823197
21067253843808,0.047813632,0,,0.00399546,0.0033050079,-0.0036061121,9.7025928,-0.28262401,1.36792,0.74855298,-0.115952,-0.644557,-0.10377,-0.27304234,-1.4225818,-0.039823197
21067255812672,0.049782496,0,,0.00399546,0.0033050079,-0.0036061121,9.7025928,-0.28262401,1.36792,0.74855298,-0.115952,-0.644557,-0.10377,-0.27304234,-1.4225818,-0.039823197
21067257885856,0.05185568,0,,-0.0034305668,0.0021929537,0.0022697134,9.641737,-0.418571,1.3721189,0.74855101,-0.115953,-0.64455599,-0.103792,-0.27286149,-1.4225872,-0.040037223
