t_recv_ns,t_s,t_stamp_ns,mos_temperature_0,mos_temperature_1,mos_temperature_2,mos_temperature_3,mos_temperature_4,mos_temperature_5,mos_temperature_6,mos_temperature_7,mos_temperature_8,mos_temperature_9,mos_temperature_10,mos_temperature_11,mos_temperature_12,mos_temperature_13,mos_temperature_14,mos_temperature_15,mos_temperature_16,mos_temperature_17,mos_temperature_18,mos_temperature_19,mos_temperature_20,mos_temperature_21,mos_temperature_22,mos_temperature_23,mos_temperature_24,motor_temperature_0,motor_temperature_1,motor_temperature_2,motor_temperature_3,motor_temperature_4,motor_temperature_5,motor_temperature_6,motor_temperature_7,motor_temperature_8,motor_temperature_9,motor_temperature_10,motor_temperature_11,motor_temperature_12,motor_temperature_13,motor_temperature_14,motor_temperature_15,motor_temperature_16,motor_temperature_17,motor_temperature_18,motor_temperature_19,motor_temperature_20,motor_temperature_21,motor_temperature_22,motor_temperature_23,motor_temperature_24,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7,tau_cmd_8,tau_cmd_9,tau_cmd_10,tau_cmd_11,tau_cmd_12,tau_cmd_13,tau_cmd_14,tau_cmd_15,tau_cmd_16,tau_cmd_17,tau_cmd_18,tau_cmd_19,tau_cmd_20,tau_cmd_21,tau_cmd_22,tau_cmd_23,tau_cmd_24
21067205989248,0,0,41.316093,39.475853,38.281075,36.54612,38.313118,39.173721,40.675209,39.773407,38.628975,35.749596,38.569466,38.477913,43.897919,47.111465,42.053101,40.748451,39.3843,38.546577,46.067749,42.547493,41.686882,41.53582,39.929047,46.722359,4742931.7,38.148315,36.088348,34.907303,34.303047,34.81575,35.030899,37.841614,36.509499,35.186539,33.506523,35.360497,34.811172,41.444267,45.518425,40.730141,38.363472,37.598991,35.89151,42.666512,39.741356,38.235291,39.173721,37.782104,43.083084,4742931.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-5.5985413,-0.11444092,0.65460205,-0.01373291,0.17852783,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4742931.7
21067217829952,0.011840704,0,41.316093,39.466698,38.276497,36.550697,38.322273,39.173721,40.679787,39.777985,38.628975,35.754181,38.564888,38.477913,43.902496,47.116043,42.062256,40.743874,39.3843,38.542,46.076904,42.529182,41.696037,41.531242,39.924469,46.722359,4742951.7,38.13916,36.079193,34.884415,34.31678,34.820328,35.040054,37.859924,36.514076,35.191116,33.501945,35.342186,34.820328,41.448845,45.500114,40.757614,38.395515,37.589836,35.89151,42.675667,39.732201,38.235291,39.155411,37.800415,43.064774,4742951.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-5.021759,0.077819824,-0.15106201,-0.04119873,-0.4989624,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4742951.7
21067237827424,0.031838176,0,41.306938,39.466698,38.276497,36.541542,38.313118,39.173721,40.679787,39.782562,38.628975,35.754181,38.578621,38.477913,43.907074,47.106888,42.053101,40.753036,39.3843,38.542,46.067749,42.538338,41.69146,41.544975,39.919891,46.731514,4742971.7,38.152893,36.097504,34.879837,34.303047,34.820328,35.030899,37.846191,36.523232,35.163651,33.497368,35.365074,34.802017,41.453423,45.523003,40.757614,38.38636,37.598991,35.882355,42.693977,39.745934,38.258186,39.159988,37.786682,43.064774,4742971.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.9484863,-0.13275146,0.37078857,-0.059509277,0.58135986,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4742971.7
21067257873056,0.051883808,0,41.316093,39.466698,38.281075,36.54612,38.317696,39.173721,40.675209,39.782562,38.633553,35.745018,38.569466,38.482491,43.907074,47.120621,42.057678,40.739296,39.379723,38.537422,46.072327,42.529182,41.69146,41.53582,39.919891,46.731514,4742991.7,38.166626,36.097504,34.89357,34.312202,34.811172,35.012589,37.855347,36.514076,35.168228,33.497368,35.351341,34.806595,41.43969,45.518425,40.743874,38.363472,37.603569,35.877777,42.684822,39.745934,38.249023,39.169144,37.782104,43.055618,4742991.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.9576416,0.14190674,0.41656494,-0.15106201,0.50811768,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4742991.7
21067277943392,0.071954144,0,41.311516,39.471275,38.281075,36.54612,38.317696,39.173721,40.670631,39.777985,38.628975,35.754181,38.578621,38.473335,43.902496,47.116043,42.053101,40.748451,39.375145,38.542,46.072327,42.538338,41.69146,41.53582,39.915314,46.717781,4743011.7,38.157471,36.092926,34.879837,34.307625,34.829483,35.040054,37.850769,36.518654,35.168228,33.501945,35.360497,34.81575,41.430534,45.513847,40.753036,38.395515,37.589836,35.873199,42.680244,39.745934,38.239868,39.159988,37.768372,43.055618,4743011.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.8935547,0.31585693,0.25177002,-0.23345947,0.17852783,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4743011.7
21067297821344,0.091832096,0,41.316093,39.471275,38.276497,36.541542,38.317696,39.178299,40.679787,39.782562,38.633553,35.749596,38.578621,38.477913,43.902496,47.111465,42.062256,40.753036,39.3843,38.537422,46.072327,42.53376,41.69146,41.531242,39.924469,46.722359,4743031.7,38.157471,36.092926,34.902725,34.312202,34.811172,35.030899,37.859924,36.518654,35.168228,33.497368,35.355919,34.820328,41.435112,45.513847,40.762192,38.38636,37.589836,35.882355,42.648201,39.745934,38.249023,39.192032,37.800415,43.03273,4743031.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-5.0858459,0.80108643,0.44403076,-0.52642822,0.5355835,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4743031.7
21067317857120,0.11186787,0,41.311516,39.466698,38.281075,36.541542,38.313118,39.173721,40.675209,39.782562,38.633553,35.763336,38.574043,38.482491,43.907074,47.116043,42.053101,40.748451,39.3843,38.537422,46.072327,42.538338,41.686882,41.531242,39.929047,46.726936,4743051.7,38.157471,36.074615,34.888992,34.29847,34.834061,35.003433,37.850769,36.518654,35.181961,33.501945,35.369652,34.811172,41.458,45.523003,40.720985,38.38636,37.585258,35.877777,42.671089,39.764252,38.249023,39.173721,37.786682,43.041885,4743051.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-5.1316223,0.96588135,0.29754639,-0.66375732,0.23345947,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4743051.7
21067337849184,0.13185994,0,41.316093,39.466698,38.276497,36.54612,38.317696,39.173721,40.675209,39.773407,38.628975,35.758759,38.574043,38.477913,43.907074,47.111465,42.048523,40.748451,39.379723,38.542,46.081482,42.538338,41.696037,41.526665,39.924469,46.731514,4743071.7,38.162048,36.088348,34.870682,34.312202,34.834061,35.035477,37.859924,36.509499,35.195694,33.497368,35.360497,34.829483,41.444267,45.50927,40.743874,38.395515,37.580681,35.877777,42.657356,39.741356,38.249023,39.164566,37.79126,43.060196,4743071.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-5.1407776,1.2405701,0.2243042,-0.83770752,0.11444092,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4743071.7
21067357867040,0.15187779,0,41.311516,39.466698,38.281075,36.550697,38.322273,39.178299,40.684364,39.782562,38.624397,35.758759,38.574043,38.482491,43.902496,47.116043,42.062256,40.753036,39.379723,38.542,46.076904,42.542915,41.696037,41.526665,39.919891,46.717781,4743091.7,38.166626,36.088348,34.879837,34.29847,34.820328,35.030899,37.850769,36.523232,35.181961,33.511101,35.369652,34.824905,41.444267,45.500114,40.757614,38.38636,37.585258,35.873199,42.6894,39.736778,38.258186,39.164566,37.800415,43.051041,4743091.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.9851074,1.3412781,0.29754639,-0.90179443,0.18768311,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4743091.7
21067378057312,0.17206806,0,41.311516,39.471275,38.281075,36.550697,38.317696,39.169144,40.679787,39.782562,38.633553,35.749596,38.569466,38.473335,43.907074,47.120621,42.062256,40.748451,39.379723,38.537422,46.076904,42.542915,41.700615,41.531242,39.919891,46.717781,4743111.7,38.162048,36.092926,34.884415,34.312202,34.806595,35.040054,37.841614,36.504921,35.159073,33.479057,35.355919,34.81575,41.453423,45.513847,40.766769,38.400093,37.594414,35.900665,42.671089,39.727623,38.253609,39.182877,37.763794,43.055618,4743111.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.6738281,1.4328308,0.35247803,-0.89263916,0.20599365,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4743111.7
