t_recv_ns,t_s,t_stamp_ns,frame_id,error_code,startup_timestamp,error_message,node_name,node_status
21067277932576,0,1786372524776576078,,0,1.7863725e+18,,motion,running
21068277825504,0.99989293,1786372525776579170,,0,1.7863725e+18,,motion,running
21069277698048,1.9997655,1786372526776601021,,0,1.7863725e+18,,motion,running
21070277663392,2.9997308,1786372527776596592,,0,1.7863725e+18,,motion,running
21071277804736,3.9998722,1786372528776593189,,0,1.7863725e+18,,motion,running
21072277646816,4.9997142,1786372529776576374,,0,1.7863725e+18,,motion,running
21073277533344,5.9996008,1786372530776578766,,0,1.7863725e+18,,motion,running
21074277624096,6.9996915,1786372531776575844,,0,1.7863725e+18,,motion,running
21075277516672,7.9995841,1786372532776579355,,0,1.7863725e+18,,motion,running
21076277466816,8.9995342,1786372533776601072,,0,1.7863725e+18,,motion,running
21077277386496,9.9994539,1786372534776598360,,0,1.7863725e+18,,motion,running
21078277374400,10.999442,1786372535776592569,,0,1.7863725e+18,,motion,running
21079277389664,11.999457,1786372536776576242,,0,1.7863725e+18,,motion,running
21080277367456,12.999435,1786372537776589376,,0,1.7863725e+18,,motion,running
21081277254688,13.999322,1786372538776591308,,0,1.7863725e+18,,motion,running
21082277273024,14.99934,1786372539776581336,,0,1.7863725e+18,,motion,running
21083277297760,15.999365,1786372540776595603,,0,1.7863725e+18,,motion,running
21084277108256,16.999176,1786372541776597383,,0,1.7863725e+18,,motion,running
21085277186880,17.999254,1786372542776705941,,0,1.7863725e+18,,motion,running
21086277080096,18.999148,1786372543776578937,,0,1.7863725e+18,,motion,running
21087276917568,19.998985,1786372544776579702,,0,1.7863725e+18,,motion,running
21088276961408,20.999029,1786372545776577751,,0,1.7863725e+18,,motion,running
21089276951040,21.999018,1786372546776578709,,0,1.7863725e+18,,motion,running
21090276773280,22.998841,1786372547776601916,,0,1.7863725e+18,,motion,running
21091276830720,23.998898,1786372548776595768,,0,1.7863725e+18,,motion,running
21092276781600,24.998849,1786372549776588442,,0,1.7863725e+18,,motion,running
21093276670784,25.998738,1786372550776575904,,0,1.7863726e+18,,motion,running
21094276711136,26.998779,1786372551776580364,,0,1.7863726e+18,,motion,running
21095276654656,27.998722,1786372552776575367,,0,1.7863726e+18,,motion,running
21096276535168,28.998603,1786372553776580296,,0,1.7863726e+18,,motion,running
21097276431744,29.998499,1786372554776602025,,0,1.7863726e+18,,motion,running
21098276435008,30.998502,1786372555776707573,,0,1.7863726e+18,,motion,running
21099276464640,31.998532,1786372556776597111,,0,1.7863726e+18,,motion,running
21100276410848,32.998478,1786372557776573215,,0,1.7863726e+18,,motion,running
21101276366112,33.998434,1786372558776579129,,0,1.7863726e+18,,motion,running
21102276273024,34.99834,1786372559776574925,,0,1.7863726e+18,,motion,running
21103276321120,35.998389,1786372560776580060,,0,1.7863726e+18,,motion,running
21104276087584,36.998155,1786372561776601370,,0,1.7863726e+18,,motion,running
21105276125472,37.998193,1786372562776596792,,0,1.7863726e+18,,motion,running
21106276170176,38.998238,1786372563776591569,,0,1.7863726e+18,,motion,running
21107276076416,39.998144,1786372564776575824,,0,1.7863726e+18,,motion,running
21108276077504,40.998145,1786372565776585653,,0,1.7863726e+18,,motion,running
21109275996960,41.998064,1786372566776575646,,0,1.7863726e+18,,motion,running
21110275909792,42.997977,1786372567776691021,,0,1.7863726e+18,,motion,running
21111275853760,43.997921,1786372568776601525,,0,1.7863726e+18,,motion,running
21112275857376,44.997925,1786372569776597122,,0,1.7863726e+18,,motion,running
21113275873056,45.99794,1786372570776592314,,0,1.7863726e+18,,motion,running
21114275719552,46.997787,1786372571776578865,,0,1.7863726e+18,,motion,running
21115275743392,47.997811,1786372572776579940,,0,1.7863726e+18,,motion,running
21116275692736,48.99776,1786372573776574722,,0,1.7863726e+18,,motion,running
21117275550368,49.997618,1786372574776579174,,0,1.7863726e+18,,motion,running
21118275569056,50.997636,1786372575776600944,,0,1.7863726e+18,,motion,running
21119275506080,51.997574,1786372576776597050,,0,1.7863726e+18,,motion,running
21120275431168,52.997499,1786372577776591195,,0,1.7863726e+18,,motion,running
21121275422016,53.997489,1786372578776577972,,0,1.7863726e+18,,motion,running
21122275388320,54.997456,1786372579776700710,,0,1.7863726e+18,,motion,running
21123275311776,55.997379,1786372580776576386,,0,1.7863726e+18,,motion,running
21124275342016,56.997409,1786372581776581684,,0,1.7863726e+18,,motion,running
21125275268864,57.997336,1786372582776602269,,0,1.7863726e+18,,motion,running
21126275161472,58.997229,1786372583776600210,,0,1.7863726e+18,,motion,running
21127275173408,59.997241,1786372584776586733,,0,1.7863726e+18,,motion,running
21128275147904,60.997215,1786372585776576412,,0,1.7863726e+18,,motion,running
21129275039776,61.997107,1786372586776578771,,0,1.7863726e+18,,motion,running
21130275038080,62.997106,1786372587776575500,,0,1.7863726e+18,,motion,running
21131275036832,63.997104,1786372588776578923,,0,1.7863726e+18,,motion,running
21132274888736,64.996956,1786372589776601277,,0,1.7863726e+18,,motion,running
21133274934912,65.997002,1786372590776596518,,0,1.7863726e+18,,motion,running
21134274889824,66.996957,1786372591776592536,,0,1.7863726e+18,,motion,running
21135274730560,67.996798,1786372592776576224,,0,1.7863726e+18,,motion,running
21136274752672,68.99682,1786372593776591722,,0,1.7863726e+18,,motion,running
21137274707072,69.996774,1786372594776576204,,0,1.7863726e+18,,motion,running
21138274601120,70.996669,1786372595776579790,,0,1.7863726e+18,,motion,running
21139274462176,71.99653,1786372596776602455,,0,1.7863726e+18,,motion,running
21140274426272,72.996494,1786372597776596745,,0,1.7863726e+18,,motion,running
21141274444096,73.996512,1786372598776596019,,0,1.7863726e+18,,motion,running
21142274381280,74.996449,1786372599776576566,,0,1.7863726e+18,,motion,running
21143274374432,75.996442,1786372600776580874,,0,1.7863726e+18,,motion,running
21144274385056,76.996452,1786372601776686669,,0,1.7863726e+18,,motion,running
21145274381888,77.996449,1786372602776580703,,0,1.7863726e+18,,motion,running
21146274326560,78.996394,1786372603776600764,,0,1.7863726e+18,,motion,running
21147274151072,79.996218,1786372604776596266,,0,1.7863726e+18,,motion,running
21148274248640,80.996316,1786372605776588369,,0,1.7863726e+18,,motion,running
21149274170368,81.996238,1786372606776574433,,0,1.7863726e+18,,motion,running
21150274066432,82.996134,1786372607776580095,,0,1.7863726e+18,,motion,running
