t_recv_ns,t_s,t_stamp_ns,current_motion_task
21067277797504,0,0,joint_bridge
21067477801152,0.20000365,0,joint_bridge
21067677761568,0.39996406,0,joint_bridge
21067877743936,0.59994643,0,joint_bridge
21068077879200,0.8000817,0,joint_bridge
21068277835008,1.0000375,0,joint_bridge
21068477734976,1.1999375,0,joint_bridge
21068677704192,1.3999067,0,joint_bridge
21068877690944,1.5998934,0,joint_bridge
21069077794656,1.7999972,0,joint_bridge
21069277707872,1.9999104,0,joint_bridge
21069477648864,2.1998514,0,joint_bridge
21069677635616,2.3998381,0,joint_bridge
21069877665344,2.5998678,0,joint_bridge
21070077615392,2.7998179,0,joint_bridge
21070277637376,2.9998399,0,joint_bridge
21070477608544,3.199811,0,joint_bridge
21070677606720,3.3998092,0,joint_bridge
21070877607488,3.59981,0,joint_bridge
21071077600480,3.799803,0,joint_bridge
21071277591424,3.9997939,0,joint_bridge
21071477546176,4.1997487,0,joint_bridge
21071677645568,4.3998481,0,joint_bridge
21071877568672,4.5997712,0,joint_bridge
21072077531328,4.7997338,0,joint_bridge
21072277603328,4.9998058,0,joint_bridge
21072477512416,5.1997149,0,joint_bridge
21072677512608,5.3997151,0,joint_bridge
21072877498976,5.5997015,0,joint_bridge
21073077530912,5.7997334,0,joint_bridge
21073277486144,5.9996886,0,joint_bridge
21073477514624,6.1997171,0,joint_bridge
21073677479616,6.3996821,0,joint_bridge
21073877449888,6.5996524,0,joint_bridge
21074077457824,6.7996603,0,joint_bridge
21074277430240,6.9996327,0,joint_bridge
21074477417184,7.1996197,0,joint_bridge
21074677432832,7.3996353,0,joint_bridge
21074877412608,7.5996151,0,joint_bridge
21075077397920,7.7996004,0,joint_bridge
21075277471840,7.9996743,0,joint_bridge
21075477425088,8.1996276,0,joint_bridge
21075677357888,8.3995604,0,joint_bridge
21075877383104,8.5995856,0,joint_bridge
21076077356416,8.7995589,0,joint_bridge
21076277418016,8.9996205,0,joint_bridge
21076477336736,9.1995392,0,joint_bridge
21076677360512,9.399563,0,joint_bridge
21076877332416,9.5995349,0,joint_bridge
21077077319616,9.7995221,0,joint_bridge
21077277327424,9.9995299,0,joint_bridge
21077477292896,10.199495,0,joint_bridge
21077677322944,10.399525,0,joint_bridge
21077877283904,10.599486,0,joint_bridge
21078077281152,10.799484,0,joint_bridge
21078277383520,10.999586,0,joint_bridge
21078477249664,11.199452,0,joint_bridge
21078677243744,11.399446,0,joint_bridge
21078877240832,11.599443,0,joint_bridge
21079077249792,11.799452,0,joint_bridge
21079277198240,11.999401,0,joint_bridge
21079477224384,12.199427,0,joint_bridge
21079677208768,12.399411,0,joint_bridge
21079877160384,12.599363,0,joint_bridge
21080077202464,12.799405,0,joint_bridge
21080277185792,12.999388,0,joint_bridge
21080477267424,13.19947,0,joint_bridge
21080677313440,13.399516,0,joint_bridge
21080877136672,13.599339,0,joint_bridge
21081077130624,13.799333,0,joint_bridge
21081277275040,13.999478,0,joint_bridge
21081477103552,14.199306,0,joint_bridge
21081677087264,14.39929,0,joint_bridge
21081877135168,14.599338,0,joint_bridge
21082077102816,14.799305,0,joint_bridge
21082277088544,14.999291,0,joint_bridge
21082477070560,15.199273,0,joint_bridge
21082677114944,15.399317,0,joint_bridge
21082877062272,15.599265,0,joint_bridge
21083076992672,15.799195,0,joint_bridge
21083277064608,15.999267,0,joint_bridge
21083477070528,16.199273,0,joint_bridge
21083676976512,16.399179,0,joint_bridge
21083877045600,16.599248,0,joint_bridge
21084077020544,16.799223,0,joint_bridge
21084277117888,16.99932,0,joint_bridge
21084476970080,17.199173,0,joint_bridge
21084676944576,17.399147,0,joint_bridge
21084876969056,17.599172,0,joint_bridge
21085076957248,17.79916,0,joint_bridge
21085277000096,17.999203,0,joint_bridge
21085476940864,18.199143,0,joint_bridge
21085676908864,18.399111,0,joint_bridge
21085876891904,18.599094,0,joint_bridge
21086076909088,18.799112,0,joint_bridge
21086276903424,18.999106,0,joint_bridge
21086476876224,19.199079,0,joint_bridge
21086676887840,19.39909,0,joint_bridge
21086876854432,19.599057,0,joint_bridge
21087076852096,19.799055,0,joint_bridge
21087276925856,19.999128,0,joint_bridge
21087476857024,20.19906,0,joint_bridge
21087676807104,20.39901,0,joint_bridge
21087876829152,20.599032,0,joint_bridge
21088076827616,20.79903,0,joint_bridge
21088276784064,20.998987,0,joint_bridge
21088476771552,21.198974,0,joint_bridge
21088676797792,21.399,0,joint_bridge
21088876781408,21.598984,0,joint_bridge
21089076760128,21.798963,0,joint_bridge
21089276758912,21.998961,0,joint_bridge
21089476765120,22.198968,0,joint_bridge
21089676733280,22.398936,0,joint_bridge
21089876728544,22.598931,0,joint_bridge
21090076714976,22.798917,0,joint_bridge
21090276781504,22.998984,0,joint_bridge
21090476661984,23.198864,0,joint_bridge
21090676670496,23.398873,0,joint_bridge
21090876787680,23.59899,0,joint_bridge
21091076642592,23.798845,0,joint_bridge
21091276653632,23.998856,0,joint_bridge
21091476641568,24.198844,0,joint_bridge
21091676628544,24.398831,0,joint_bridge
21091876603712,24.598806,0,joint_bridge
21092076619040,24.798822,0,joint_bridge
21092276605888,24.998808,0,joint_bridge
21092476674144,25.198877,0,joint_bridge
21092676619392,25.398822,0,joint_bridge
21092876583680,25.598786,0,joint_bridge
21093076582752,25.798785,0,joint_bridge
21093276626496,25.998829,0,joint_bridge
21093476528448,26.198731,0,joint_bridge
21093676563232,26.398766,0,joint_bridge
21093876517088,26.59872,0,joint_bridge
21094076529056,26.798732,0,joint_bridge
21094276501120,26.998704,0,joint_bridge
21094476515392,27.198718,0,joint_bridge
21094676491776,27.398694,0,joint_bridge
21094876485696,27.598688,0,joint_bridge
21095076511616,27.798714,0,joint_bridge
21095276462944,27.998665,0,joint_bridge
21095476468608,28.198671,0,joint_bridge
21095676461888,28.398664,0,joint_bridge
21095876436544,28.598639,0,joint_bridge
21096076488416,28.798691,0,joint_bridge
21096276544352,28.998747,0,joint_bridge
21096476427712,29.19863,0,joint_bridge
21096676412480,29.398615,0,joint_bridge
21096876479104,29.598682,0,joint_bridge
21097076409376,29.798612,0,joint_bridge
21097276393824,29.998596,0,joint_bridge
21097476451424,30.198654,0,joint_bridge
21097676357088,30.39856,0,joint_bridge
21097876390784,30.598593,0,joint_bridge
21098076329792,30.798532,0,joint_bridge
21098276402720,30.998605,0,joint_bridge
21098476344384,31.198547,0,joint_bridge
21098676339232,31.398542,0,joint_bridge
21098876316384,31.598519,0,joint_bridge
21099076303808,31.798506,0,joint_bridge
21099276472672,31.998675,0,joint_bridge
21099476328992,32.198531,0,joint_bridge
21099676380704,32.398583,0,joint_bridge
21099876356320,32.598559,0,joint_bridge
21100076264608,32.798467,0,joint_bridge
21100276282816,32.998485,0,joint_bridge
21100476271168,33.198474,0,joint_bridge
21100676229248,33.398432,0,joint_bridge
21100876194720,33.598397,0,joint_bridge
21101076307456,33.79851,0,joint_bridge
21101276190368,33.998393,0,joint_bridge
21101476214016,34.198417,0,joint_bridge
21101676170432,34.398373,0,joint_bridge
21101876170176,34.598373,0,joint_bridge
21102076170944,34.798373,0,joint_bridge
21102276205248,34.998408,0,joint_bridge
21102476146272,35.198349,0,joint_bridge
21102676116000,35.398318,0,joint_bridge
21102876111104,35.598314,0,joint_bridge
21103076110848,35.798313,0,joint_bridge
21103276113600,35.998316,0,joint_bridge
21103476174272,36.198377,0,joint_bridge
21103676096512,36.398299,0,joint_bridge
21103876073952,36.598276,0,joint_bridge
21104076051040,36.798254,0,joint_bridge
21104276101728,36.998304,0,joint_bridge
21104476049760,37.198252,0,joint_bridge
21104676038560,37.398241,0,joint_bridge
21104876064352,37.598267,0,joint_bridge
21105075992960,37.798195,0,joint_bridge
21105276078944,37.998281,0,joint_bridge
21105476066240,38.198269,0,joint_bridge
21105675986624,38.398189,0,joint_bridge
21105875962688,38.598165,0,joint_bridge
21106075958240,38.798161,0,joint_bridge
21106276021664,38.998224,0,joint_bridge
21106475938688,39.198141,0,joint_bridge
21106675946240,39.398149,0,joint_bridge
21106875920448,39.598123,0,joint_bridge
21107075918336,39.798121,0,joint_bridge
21107275902592,39.998105,0,joint_bridge
21107475893088,40.198096,0,joint_bridge
21107675896960,40.398099,0,joint_bridge
21107875870880,40.598073,0,joint_bridge
21108075865408,40.798068,0,joint_bridge
21108276025440,40.998228,0,joint_bridge
21108475882336,41.198085,0,joint_bridge
21108675836320,41.398039,0,joint_bridge
21108875841952,41.598044,0,joint_bridge
21109075885920,41.798088,0,joint_bridge
21109275828416,41.998031,0,joint_bridge
21109475837216,42.19804,0,joint_bridge
21109675817920,42.39802,0,joint_bridge
21109875805216,42.598008,0,joint_bridge
21110075807136,42.79801,0,joint_bridge
21110275860480,42.998063,0,joint_bridge
21110475789440,43.197992,0,joint_bridge
21110675832032,43.398035,0,joint_bridge
21110875798656,43.598001,0,joint_bridge
21111075733088,43.797936,0,joint_bridge
21111275814528,43.998017,0,joint_bridge
21111475740768,44.197943,0,joint_bridge
21111675706112,44.397909,0,joint_bridge
21111875721376,44.597924,0,joint_bridge
21112075696000,44.797898,0,joint_bridge
21112275719200,44.997922,0,joint_bridge
21112475673664,45.197876,0,joint_bridge
21112675695424,45.397898,0,joint_bridge
21112875661984,45.597864,0,joint_bridge
21113075678976,45.797881,0,joint_bridge
21113275657984,45.99786,0,joint_bridge
21113475615296,46.197818,0,joint_bridge
21113675646752,46.397849,0,joint_bridge
21113875618624,46.597821,0,joint_bridge
21114075602528,46.797805,0,joint_bridge
21114275665184,46.997868,0,joint_bridge
21114475581088,47.197784,0,joint_bridge
21114675615936,47.397818,0,joint_bridge
21114875553600,47.597756,0,joint_bridge
21115075571968,47.797774,0,joint_bridge
21115275548416,47.997751,0,joint_bridge
21115475544512,48.197747,0,joint_bridge
21115675528704,48.397731,0,joint_bridge
21115875523456,48.597726,0,joint_bridge
21116075543072,48.797746,0,joint_bridge
21116275488064,48.997691,0,joint_bridge
21116475478400,49.197681,0,joint_bridge
21116675477504,49.39768,0,joint_bridge
21116875488864,49.597691,0,joint_bridge
21117075459360,49.797662,0,joint_bridge
21117275561024,49.997764,0,joint_bridge
21117475468768,50.197671,0,joint_bridge
21117675443296,50.397646,0,joint_bridge
21117875416864,50.597619,0,joint_bridge
21118075436608,50.797639,0,joint_bridge
21118275424416,50.997627,0,joint_bridge
21118475380544,51.197583,0,joint_bridge
21118675379808,51.397582,0,joint_bridge
21118875399296,51.597602,0,joint_bridge
21119075359328,51.797562,0,joint_bridge
21119275356416,51.997559,0,joint_bridge
21119475343328,52.197546,0,joint_bridge
21119675344896,52.397547,0,joint_bridge
21119875310432,52.597513,0,joint_bridge
21120075325376,52.797528,0,joint_bridge
21120275440032,52.997643,0,joint_bridge
21120475308960,53.197511,0,joint_bridge
21120675307072,53.39751,0,joint_bridge
21120875293440,53.597496,0,joint_bridge
21121075300608,53.797503,0,joint_bridge
21121275261984,53.997464,0,joint_bridge
21121475254912,54.197457,0,joint_bridge
21121675284288,54.397487,0,joint_bridge
21121875233632,54.597436,0,joint_bridge
21122075327136,54.79753,0,joint_bridge
21122275334176,54.997537,0,joint_bridge
21122475221696,55.197424,0,joint_bridge
21122675226496,55.397429,0,joint_bridge
21122875192192,55.597395,0,joint_bridge
21123075254144,55.797457,0,joint_bridge
21123275264352,55.997467,0,joint_bridge
21123475171040,56.197374,0,joint_bridge
21123675157728,56.39736,0,joint_bridge
21123875176096,56.597379,0,joint_bridge
21124075131008,56.797334,0,joint_bridge
21124275182112,56.997385,0,joint_bridge
21124475120320,57.197323,0,joint_bridge
21124675115104,57.397318,0,joint_bridge
21124875118848,57.597321,0,joint_bridge
21125075104320,57.797307,0,joint_bridge
21125275082336,57.997285,0,joint_bridge
21125475069408,58.197272,0,joint_bridge
21125675195456,58.397398,0,joint_bridge
21125875137760,58.59734,0,joint_bridge
21126075054112,58.797257,0,joint_bridge
21126275114144,58.997317,0,joint_bridge
21126475106176,59.197309,0,joint_bridge
21126675034176,59.397237,0,joint_bridge
21126875025056,59.597228,0,joint_bridge
21127075107392,59.79731,0,joint_bridge
21127275029056,59.997232,0,joint_bridge
21127474982048,60.197185,0,joint_bridge
21127675017536,60.39722,0,joint_bridge
21127875020000,60.597222,0,joint_bridge
21128074983808,60.797186,0,joint_bridge
21128274974304,60.997177,0,joint_bridge
21128474980768,61.197183,0,joint_bridge
21128675010144,61.397213,0,joint_bridge
21128874942304,61.597145,0,joint_bridge
21129074957664,61.79716,0,joint_bridge
21129274996864,61.997199,0,joint_bridge
21129474924960,62.197127,0,joint_bridge
21129674899040,62.397102,0,joint_bridge
21129874912608,62.597115,0,joint_bridge
21130074918336,62.797121,0,joint_bridge
21130274862688,62.997065,0,joint_bridge
21130474872800,63.197075,0,joint_bridge
21130674837792,63.39704,0,joint_bridge
21130874874304,63.597077,0,joint_bridge
21131074842016,63.797045,0,joint_bridge
21131274841408,63.997044,0,joint_bridge
21131474834176,64.197037,0,joint_bridge
21131674778304,64.396981,0,joint_bridge
21131874795424,64.596998,0,joint_bridge
21132074781792,64.796984,0,joint_bridge
21132274836576,64.997039,0,joint_bridge
21132474738880,65.196941,0,joint_bridge
21132674743328,65.396946,0,joint_bridge
21132874758944,65.596961,0,joint_bridge
21133074720448,65.796923,0,joint_bridge
21133274714720,65.996917,0,joint_bridge
