t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
21448400263424,0,1786372905916528918,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448420245472,0.019982048,1786372905936523745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448440228544,0.03996512,1786372905956507206,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448460116640,0.059853216,1786372905976511916,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448480244192,0.079980768,1786372905996504940,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448500244768,0.099981344,1786372906016511609,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448520234432,0.11997101,1786372906036532750,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448540244992,0.13998157,1786372906056528195,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448560273152,0.16000973,1786372906076525203,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448580242304,0.17997888,1786372906096510906,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448600237088,0.19997366,1786372906116512301,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448620216000,0.21995258,1786372906136505438,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448640248000,0.23998458,1786372906156511430,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448660112608,0.25984918,1786372906176532434,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448680250368,0.27998694,1786372906196527116,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448700256096,0.29999267,1786372906216524496,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448720243456,0.31998003,1786372906236506765,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448740213024,0.3399496,1786372906256511976,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448760238816,0.35997539,1786372906276505602,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448780212384,0.37994896,1786372906296512134,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448800242432,0.39997901,1786372906316532779,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448820227936,0.41996451,1786372906336527463,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448840219328,0.4399559,1786372906356523202,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448860081728,0.4598183,1786372906376507573,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448880214464,0.47995104,1786372906396511522,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448900231552,0.49996813,1786372906416504241,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448920230784,0.51996736,1786372906436511397,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448940249856,0.53998643,1786372906456538254,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448960236064,0.55997264,1786372906476527084,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21448980223168,0.57995974,1786372906496523385,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449000217600,0.59995418,1786372906516506165,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449020178272,0.61991485,1786372906536511500,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449040201920,0.6399385,1786372906556505838,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449060079936,0.65981651,1786372906576509888,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449080226112,0.67996269,1786372906596533630,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449100331584,0.70006816,1786372906616528877,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449120206592,0.71994317,1786372906636523103,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449140189952,0.73992653,1786372906656506220,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449160216672,0.75995325,1786372906676511706,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449180199264,0.77993584,1786372906696504430,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449200205184,0.79994176,1786372906716510281,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449220196928,0.8199335,1786372906736531595,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449240225024,0.8399616,1786372906756527172,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21449260155680,0.85989226,1786372906776524121,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
