t_recv_ns,t_s,t_stamp_ns,frame_id,parallel_parser_type,damping_0,damping_1,damping_2,damping_3,damping_4,damping_5,damping_6,damping_7,damping_8,damping_9,damping_10,damping_11,damping_12,damping_13,damping_14,damping_15,damping_16,damping_17,damping_18,damping_19,damping_20,damping_21,damping_22,damping_23,feed_forward_torque_0,feed_forward_torque_1,feed_forward_torque_2,feed_forward_torque_3,feed_forward_torque_4,feed_forward_torque_5,feed_forward_torque_6,feed_forward_torque_7,feed_forward_torque_8,feed_forward_torque_9,feed_forward_torque_10,feed_forward_torque_11,feed_forward_torque_12,feed_forward_torque_13,feed_forward_torque_14,feed_forward_torque_15,feed_forward_torque_16,feed_forward_torque_17,feed_forward_torque_18,feed_forward_torque_19,feed_forward_torque_20,feed_forward_torque_21,feed_forward_torque_22,feed_forward_torque_23,position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,position_11,position_12,position_13,position_14,position_15,position_16,position_17,position_18,position_19,position_20,position_21,position_22,position_23,stiffness_0,stiffness_1,stiffness_2,stiffness_3,stiffness_4,stiffness_5,stiffness_6,stiffness_7,stiffness_8,stiffness_9,stiffness_10,stiffness_11,stiffness_12,stiffness_13,stiffness_14,stiffness_15,stiffness_16,stiffness_17,stiffness_18,stiffness_19,stiffness_20,stiffness_21,stiffness_22,stiffness_23,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,torque_12,torque_13,torque_14,torque_15,torque_16,torque_17,torque_18,torque_19,torque_20,torque_21,torque_22,torque_23,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,velocity_7,velocity_8,velocity_9,velocity_10,velocity_11,velocity_12,velocity_13,velocity_14,velocity_15,velocity_16,velocity_17,velocity_18,velocity_19,velocity_20,velocity_21,velocity_22,velocity_23
21448390608640,0,1786372905906584687,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12340736,-0.11501503,-0.66052532,-0.22602463,0.64819904,0.17482614,-0.045968056,-0.080300331,-0.02040863,-0.35801506,0.32877295,0.073096817,0.076867104,-1.326841,0.76984643,-0.25666649,-0.2663893,-1.0563314,0.37937737,-0.037194252,0.03986454,-0.42668056,-0.014305115,-0.095178604,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4062484,-10.362498,-5.1915634,-2.7617669,2.7636893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5455613,-2.0076258,-4.6411677,-1.6238097,1.8874344,0,0,0,0,0,0
21448392651104,0.002042464,1786372905908593505,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12340736,-0.11501503,-0.66052532,-0.22602463,0.64819904,0.17482614,-0.045968056,-0.080300331,-0.02040863,-0.35801506,0.32877295,0.073096817,0.076867104,-1.331897,0.76580254,-0.26589568,-0.26963002,-1.0524664,0.37937737,-0.037194252,0.03986454,-0.42668056,-0.014305115,-0.095178604,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.255288,-10.35497,-5.125704,-2.6847581,2.8400419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5103446,-2.0362294,-4.5879019,-1.6168637,1.9775284,0,0,0,0,0,0
21448394667296,0.004058656,1786372905910598173,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12340736,-0.11501503,-0.66052532,-0.22602463,0.64819904,0.17482614,-0.045968056,-0.080300331,-0.02040863,-0.35801506,0.32877295,0.073096817,0.076867104,-1.3368822,0.76170166,-0.27501761,-0.27285658,-1.0484215,0.37937737,-0.037194252,0.03986454,-0.42668056,-0.014305115,-0.095178604,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1327518,-10.43807,-5.1084195,-2.5912741,2.9193356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4749115,-2.0646183,-4.5339158,-1.6096587,2.0673672,0,0,0,0,0,0
21448396619680,0.00601104,1786372905912566641,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12340736,-0.11501503,-0.66052532,-0.22602463,0.64819904,0.17482614,-0.045968056,-0.080300331,-0.02040863,-0.35801506,0.32877295,0.073096817,0.076867104,-1.3417965,0.75754421,-0.28403086,-0.27606848,-1.0441971,0.37937737,-0.037194252,0.03986454,-0.42668056,-0.014305115,-0.095178604,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.982299,-10.437342,-5.0714074,-2.623477,3.0025678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4392689,-2.0927876,-4.4792152,-1.6021965,2.15694,0,0,0,0,0,0
21448398629536,0.008020896,1786372905914581564,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12340736,-0.11501503,-0.66052532,-0.22602463,0.64819904,0.17482614,-0.045968056,-0.080300331,-0.02040863,-0.35801506,0.32877295,0.073096817,0.076867104,-1.3466392,0.75333066,-0.292934,-0.2792652,-1.0397939,0.37937737,-0.037194252,0.03986454,-0.42668056,-0.014305115,-0.095178604,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8423476,-10.353043,-5.0388498,-2.5838692,3.0707601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4034238,-2.1207324,-4.4238059,-1.5944793,2.2462358,0,0,0,0,0,0
21448400785216,0.010176576,1786372905916633319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12340736,-0.11501503,-0.66052532,-0.22602463,0.64819904,0.17482614,-0.045968056,-0.080300331,-0.02040863,-0.35801506,0.32877295,0.073096817,0.076867104,-1.35141,0.74906144,-0.30172562,-0.28244623,-1.0352124,0.37937737,-0.037194252,0.03986454,-0.42668056,-0.014305115,-0.095178604,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6895188,-10.38257,-4.9233311,-2.5287067,3.1581736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3673832,-2.1484478,-4.3676937,-1.5865092,2.3352437,0,0,0,0,0,0
21448402594976,0.011986336,1786372905918575318,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12340736,-0.11501503,-0.66052532,-0.22602463,0.64819904,0.17482614,-0.045968056,-0.080300331,-0.02040863,-0.35801506,0.32877295,0.073096817,0.076867104,-1.3561086,0.74473702,-0.31040431,-0.28561107,-1.0304532,0.37937737,-0.037194252,0.03986454,-0.42668056,-0.014305115,-0.095178604,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6017535,-10.409144,-4.8998923,-2.4596199,3.2410838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3311539,-2.1759289,-4.3108848,-1.5782883,2.423953,0,0,0,0,0,0
21448404588896,0.013980256,1786372905920575878,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12340736,-0.11501503,-0.66052532,-0.22602463,0.64819904,0.17482614,-0.045968056,-0.080300331,-0.02040863,-0.35801506,0.32877295,0.073096817,0.076867104,-1.3607345,0.74035788,-0.3189687,-0.28875922,-1.0255168,0.37937737,-0.037194252,0.03986454,-0.42668056,-0.014305115,-0.095178604,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4230768,-10.439573,-4.9230743,-2.5074813,3.2716667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2947429,-2.203171,-4.2533852,-1.5698188,2.5123527,0,0,0,0,0,0
21448406562912,0.015954272,1786372905922589808,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12340736,-0.11501503,-0.66052532,-0.22602463,0.64819904,0.17482614,-0.045968056,-0.080300331,-0.02040863,-0.35801506,0.32877295,0.073096817,0.076867104,-1.3652874,0.7359245,-0.3274174,-0.29189018,-1.020404,0.37937737,-0.037194252,0.03986454,-0.42668056,-0.014305115,-0.095178604,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3080315,-10.327081,-4.8516061,-2.4602992,3.3539059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2581572,-2.2301692,-4.1952013,-1.5611029,2.6004322,0,0,0,0,0,0
21448408560960,0.01795232,1786372905924591926,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12340736,-0.11501503,-0.66052532,-0.22602463,0.64819904,0.17482614,-0.045968056,-0.080300331,-0.02040863,-0.35801506,0.32877295,0.073096817,0.076867104,-1.369767,0.73143737,-0.33574905,-0.29500347,-1.0151153,0.37937737,-0.037194252,0.03986454,-0.42668056,-0.014305115,-0.095178604,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2143273,-10.318687,-4.7487388,-2.357852,3.4207472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2214037,-2.2569187,-4.1363393,-1.5521428,2.6881807,0,0,0,0,0,0
