t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
4665899944128,0,1788966204867110764,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4665920082912,0.020138784,1788966204887111745,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4665940099040,0.040154912,1788966204907111236,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4665960056960,0.060112832,1788966204927110959,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4665980143072,0.080198944,1788966204947111318,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666000149888,0.10020576,1788966204967110992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666020046784,0.12010266,1788966204987110720,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666040139360,0.14019523,1788966205007110956,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666060053984,0.16010986,1788966205027111160,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666080247296,0.18030317,1788966205047111036,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666099930528,0.1999864,1788966205067110675,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666120070912,0.22012678,1788966205087110926,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666140118016,0.24017389,1788966205107110890,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666160089792,0.26014566,1788966205127110184,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666180064736,0.28012061,1788966205147111513,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666200077216,0.30013309,1788966205167110589,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666220056640,0.32011251,1788966205187110983,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666240199712,0.34025558,1788966205207110900,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666260096512,0.36015238,1788966205227111058,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666280126016,0.38018189,1788966205247110707,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666299923680,0.39997955,1788966205267110714,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666320062432,0.4201183,1788966205287110835,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666340034784,0.44009066,1788966205307110046,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666360024480,0.46008035,1788966205327110753,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666380123840,0.48017971,1788966205347110830,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666400030400,0.50008627,1788966205367110772,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666420057664,0.52011354,1788966205387110938,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666440037056,0.54009293,1788966205407110719,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666460056992,0.56011286,1788966205427117028,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666480204000,0.58025987,1788966205447113977,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666499904928,0.5999608,1788966205467110547,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666520037888,0.62009376,1788966205487110996,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666540065600,0.64012147,1788966205507110691,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4666560041536,0.66009741,1788966205527110643,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
