t_recv_ns,t_s,t_stamp_ns,frame_id,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,quaternion.w,quaternion.x,quaternion.y,quaternion.z,rpy.x,rpy.y,rpy.z
4665888191232,0,0,,0.00051424383,0.00029307568,-0.0014951014,9.7734203,-0.30153999,0.98193997,0.74004501,-0.072011001,-0.66685498,-0.049508002,-0.38444358,-1.462456,0.21212236
4665888380320,0.000189088,0,,0.00051424383,0.00029307568,-0.0014951014,9.7734203,-0.30153999,0.98193997,0.74004501,-0.072011001,-0.66685498,-0.049508002,-0.38444358,-1.462456,0.21212236
4665890060736,0.001869504,0,,0.00051424383,0.00029307568,-0.0014951014,9.7734203,-0.30153999,0.98193997,0.74004501,-0.072011001,-0.66685498,-0.049508002,-0.38444358,-1.462456,0.21212236
4665892119168,0.003927936,0,,0.0034695749,0.0013199401,0.0025247932,9.8138952,-0.38740098,0.98335397,0.74004698,-0.072001003,-0.66685402,-0.049506001,-0.38432674,-1.4624533,0.21202304
4665894046720,0.005855488,0,,0.0034695749,0.0013199401,0.0025247932,9.8138952,-0.38740098,0.98335397,0.74004698,-0.072001003,-0.66685402,-0.049506001,-0.38432674,-1.4624533,0.21202304
4665896035712,0.00784448,0,,-0.00033923965,-0.0053759631,0.0020067621,9.8563452,-0.43484399,0.99701703,0.740044,-0.072001003,-0.66685802,-0.0495,-0.38442118,-1.4624616,0.21212666
4665898032256,0.009841024,0,,-0.00033923965,-0.0053759631,0.0020067621,9.8563452,-0.43484399,0.99701703,0.740044,-0.072001003,-0.66685802,-0.0495,-0.38442118,-1.4624616,0.21212666
4665900254240,0.012063008,0,,-0.00033923965,-0.0053759631,0.0020067621,9.8563452,-0.43484399,0.99701703,0.740044,-0.072001003,-0.66685802,-0.0495,-0.38442118,-1.4624616,0.21212666
4665902066944,0.013875712,0,,0.0018042342,-0.0032993005,0.0044864558,9.7734375,-0.369688,0.99518001,0.74003702,-0.072011001,-0.66686398,-0.049493,-0.3846852,-1.4624721,0.21238611
4665904078592,0.01588736,0,,0.0018042342,-0.0032993005,0.0044864558,9.7734375,-0.369688,0.99518001,0.74003702,-0.072011001,-0.66686398,-0.049493,-0.3846852,-1.4624721,0.21238611
4665906060736,0.017869504,0,,0.0015585964,-0.00075310958,0.00020629791,9.7512074,-0.44399801,0.97552997,0.74003601,-0.072007999,-0.66686702,-0.049486998,-0.38474256,-1.462477,0.21245636
4665908054624,0.019863392,0,,0.0015585964,-0.00075310958,0.00020629791,9.7512074,-0.44399801,0.97552997,0.74003601,-0.072007999,-0.66686702,-0.049486998,-0.38474256,-1.462477,0.21245636
4665910067840,0.021876608,0,,0.0015585964,-0.00075310958,0.00020629791,9.7512074,-0.44399801,0.97552997,0.74003601,-0.072007999,-0.66686702,-0.049486998,-0.38474256,-1.462477,0.21245636
4665912057088,0.023865856,0,,0.00072836077,-0.0042760042,0.0015019256,9.8307114,-0.50080597,0.98909402,0.74003297,-0.072012,-0.66687,-0.049486,-0.38483364,-1.4624832,0.21254246
4665914177760,0.025986528,0,,0.00072836077,-0.0042760042,0.0015019256,9.8307114,-0.50080597,0.98909402,0.74003297,-0.072012,-0.66687,-0.049486,-0.38483364,-1.4624832,0.21254246
4665916077504,0.027886272,0,,0.0046649511,-0.0038444192,-0.0021818709,9.7647734,-0.398996,1.002792,0.74002701,-0.072016001,-0.66687602,-0.049485002,-0.38494675,-1.4624964,0.21265177
4665918088960,0.029897728,0,,0.0046649511,-0.0038444192,-0.0021818709,9.7647734,-0.398996,1.002792,0.74002701,-0.072016001,-0.66687602,-0.049485002,-0.38494675,-1.4624964,0.21265177
4665920245536,0.032054304,0,,0.0046649511,-0.0038444192,-0.0021818709,9.7647734,-0.398996,1.002792,0.74002701,-0.072016001,-0.66687602,-0.049485002,-0.38494675,-1.4624964,0.21265177
4665922051168,0.033859936,0,,-0.001061614,-0.00042556362,-0.0020084725,9.6259832,-0.30294698,0.98988199,0.74002498,-0.072010003,-0.666879,-0.049486998,-0.38485384,-1.4625062,0.21256335
4665924039616,0.035848384,0,,-0.001061614,-0.00042556362,-0.0020084725,9.6259832,-0.30294698,0.98988199,0.74002498,-0.072010003,-0.666879,-0.049486998,-0.38485384,-1.4625062,0.21256335
4665926056832,0.0378656,0,,0.0016492838,-0.003081344,0.0021286385,9.5801077,-0.31614801,0.97411901,0.74002397,-0.072002001,-0.66688102,-0.049486998,-0.3847555,-1.4625146,0.21247666
4665928041504,0.039850272,0,,0.0016492838,-0.003081344,0.0021286385,9.5801077,-0.31614801,0.97411901,0.74002397,-0.072002001,-0.66688102,-0.049486998,-0.3847555,-1.4625146,0.21247666
4665930044160,0.041852928,0,,0.0016492838,-0.003081344,0.0021286385,9.5801077,-0.31614801,0.97411901,0.74002397,-0.072002001,-0.66688102,-0.049486998,-0.3847555,-1.4625146,0.21247666
4665932251520,0.044060288,0,,0.0006900857,-0.00052400019,0.0048838499,9.6126137,-0.26185599,0.990578,0.74002099,-0.072002001,-0.66688502,-0.049479999,-0.3848619,-1.4625207,0.21259427
4665934047328,0.045856096,0,,0.0006900857,-0.00052400019,0.0048838499,9.6126137,-0.26185599,0.990578,0.74002099,-0.072002001,-0.66688502,-0.049479999,-0.3848619,-1.4625207,0.21259427
4665936057184,0.047865952,0,,0.0017077697,6.1645027e-05,0.0056658971,9.7954741,-0.43278798,0.99017799,0.74002498,-0.071997002,-0.66688198,-0.049465001,-0.38494629,-1.4625069,0.21270663
4665938077760,0.049886528,0,,0.0017077697,6.1645027e-05,0.0056658971,9.7954741,-0.43278798,0.99017799,0.74002498,-0.071997002,-0.66688198,-0.049465001,-0.38494629,-1.4625069,0.21270663
4665940090528,0.051899296,0,,0.0017077697,6.1645027e-05,0.0056658971,9.7954741,-0.43278798,0.99017799,0.74002498,-0.071997002,-0.66688198,-0.049465001,-0.38494629,-1.4625069,0.21270663
4665942039264,0.053848032,0,,-0.00081058327,0.0013632941,0.0040280977,9.9321604,-0.55334997,0.96659601,0.74002701,-0.072007999,-0.666879,-0.049460001,-0.38512575,-1.4624929,0.2128785
4665944045600,0.055854368,0,,-0.00081058327,0.0013632941,0.0040280977,9.9321604,-0.55334997,0.96659601,0.74002701,-0.072007999,-0.666879,-0.049460001,-0.38512575,-1.4624929,0.2128785
4665946046016,0.057854784,0,,-0.0057958718,-0.0013285097,0.0016391608,9.9653015,-0.500947,1.007179,0.74002498,-0.072034001,-0.66687799,-0.049461998,-0.38546054,-1.4624838,0.21317235
