t_recv_ns,t_s,t_stamp_ns,mos_temperature_0,mos_temperature_1,mos_temperature_2,mos_temperature_3,mos_temperature_4,mos_temperature_5,mos_temperature_6,mos_temperature_7,mos_temperature_8,mos_temperature_9,mos_temperature_10,mos_temperature_11,mos_temperature_12,mos_temperature_13,mos_temperature_14,mos_temperature_15,mos_temperature_16,mos_temperature_17,mos_temperature_18,mos_temperature_19,mos_temperature_20,mos_temperature_21,mos_temperature_22,mos_temperature_23,mos_temperature_24,motor_temperature_0,motor_temperature_1,motor_temperature_2,motor_temperature_3,motor_temperature_4,motor_temperature_5,motor_temperature_6,motor_temperature_7,motor_temperature_8,motor_temperature_9,motor_temperature_10,motor_temperature_11,motor_temperature_12,motor_temperature_13,motor_temperature_14,motor_temperature_15,motor_temperature_16,motor_temperature_17,motor_temperature_18,motor_temperature_19,motor_temperature_20,motor_temperature_21,motor_temperature_22,motor_temperature_23,motor_temperature_24,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7,tau_cmd_8,tau_cmd_9,tau_cmd_10,tau_cmd_11,tau_cmd_12,tau_cmd_13,tau_cmd_14,tau_cmd_15,tau_cmd_16,tau_cmd_17,tau_cmd_18,tau_cmd_19,tau_cmd_20,tau_cmd_21,tau_cmd_22,tau_cmd_23,tau_cmd_24
4665888148896,0,0,35.360497,33.653008,32.65049,31.268028,32.6688,33.405815,34.783707,33.982605,33.062485,30.567635,32.824448,32.673378,38.065918,40.080109,36.472878,33.854431,32.751205,32.22934,39.356834,35.255211,34.188599,34.074158,33.103683,39.352257,4575189.7,32.568092,30.563057,29.647514,29.262993,29.574272,29.729912,32.284279,30.97963,29.990845,28.525978,29.949646,29.455254,35.854889,37.988098,36.404213,32.027924,31.09407,29.92218,36.276039,32.989243,31.162735,32.078278,31.048294,36.111237,4575189.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.4815674,-3.4927979,-1.0299988,-2.174408,-0.35247803,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4575189.7
4665900242048,0.012093152,0,35.355919,33.653008,32.655067,31.272606,32.673378,33.405815,34.779129,33.987183,33.076218,30.567635,32.824448,32.673378,38.065918,40.093842,36.463722,33.849854,32.74662,32.22934,39.352257,35.259789,34.188599,34.074158,33.094528,39.347679,4575209.7,32.590981,30.558479,29.65667,29.253838,29.565117,29.729912,32.279701,30.97963,29.986267,28.530556,29.935913,29.446098,35.886932,37.960632,36.417946,32.032501,31.098648,29.913025,36.271461,32.970932,31.144424,32.0737,31.066605,36.111237,4575209.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.9210205,-3.7766113,-0.92926025,-2.1286316,-0.28839111,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4575209.7
4665920067200,0.031918304,0,35.360497,33.653008,32.65049,31.272606,32.677956,33.405815,34.779129,33.99176,33.067062,30.567635,32.815292,32.677956,38.065918,40.089264,36.463722,33.849854,32.742043,32.233917,39.356834,35.255211,34.193176,34.074158,33.099106,39.356834,4575229.7,32.57267,30.544746,29.638359,29.262993,29.569695,29.729912,32.284279,30.970474,29.981689,28.530556,29.949646,29.459831,35.877777,37.96521,36.408791,32.023346,31.09407,29.894714,36.280617,32.970932,31.149002,32.078278,31.062027,36.120392,4575229.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.1977539,-3.666748,-0.51727295,-1.6250916,-0.18768311,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4575229.7
4665940073536,0.05192464,0,35.346764,33.657585,32.65049,31.277184,32.6688,33.401237,34.783707,33.987183,33.067062,30.563057,32.81987,32.673378,38.06134,40.093842,36.463722,33.859009,32.74662,32.224762,39.356834,35.259789,34.193176,34.074158,33.099106,39.356834,4575249.7,32.581825,30.553902,29.652092,29.253838,29.551384,29.729912,32.298012,30.970474,29.972534,28.525978,29.949646,29.459831,35.877777,37.974365,36.413368,32.014191,31.103226,29.908447,36.257729,32.980087,31.15358,32.096588,31.043716,36.111237,4575249.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.1611328,-3.3005371,-0.72784424,-1.808197,-0.19683838,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4575249.7
4665960041088,0.071892192,0,35.351341,33.643852,32.65049,31.268028,32.673378,33.405815,34.783707,33.99176,33.067062,30.567635,32.81987,32.6688,38.06134,40.089264,36.459145,33.854431,32.74662,32.22934,39.352257,35.259789,34.188599,34.074158,33.094528,39.352257,4575269.7,32.595558,30.558479,29.633781,29.253838,29.560539,29.739067,32.288857,30.984207,29.963379,28.525978,29.945068,29.446098,35.896088,37.983521,36.417946,32.000458,31.107803,29.908447,36.276039,32.970932,31.15358,32.064545,31.052872,36.092926,4575269.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-3.9414062,-3.3554688,-0.64544678,-1.5152283,-0.48980713,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4575269.7
4665980121312,0.091972416,0,35.355919,33.64843,32.645912,31.277184,32.6688,33.410393,34.783707,33.987183,33.062485,30.567635,32.815292,32.677956,38.065918,40.089264,36.463722,33.849854,32.751205,32.233917,39.361412,35.250633,34.193176,34.078735,33.089951,39.343102,4575289.7,32.577248,30.558479,29.65667,29.26757,29.551384,29.734489,32.275124,30.97963,29.977112,28.525978,29.958801,29.459831,35.873199,37.974365,36.422523,32.027924,31.107803,29.908447,36.276039,32.984665,31.167313,32.082855,31.062027,36.106659,4575289.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-4.3076172,-3.4195557,-0.74615479,-1.5701599,-0.25177002,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4575289.7
4666000120352,0.11197146,0,35.351341,33.64843,32.655067,31.272606,32.664223,33.41497,34.779129,33.987183,33.067062,30.572212,32.824448,32.677956,38.070496,40.089264,36.463722,33.854431,32.74662,32.233917,39.352257,35.264366,34.188599,34.06958,33.108261,39.356834,4575309.7,32.586403,30.572212,29.652092,29.253838,29.569695,29.725334,32.275124,30.984207,29.981689,28.539711,29.967957,29.459831,35.868622,37.969788,36.39048,32.027924,31.098648,29.92218,36.276039,32.980087,31.144424,32.0737,31.057449,36.111237,4575309.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-3.6850586,-3.0075684,-1.002533,-1.5884705,-0.33416748,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4575309.7
4666020035936,0.13188704,0,35.355919,33.653008,32.659645,31.268028,32.673378,33.410393,34.783707,33.987183,33.07164,30.567635,32.81987,32.673378,38.065918,40.084686,36.459145,33.849854,32.751205,32.233917,39.361412,35.259789,34.188599,34.074158,33.099106,39.356834,4575329.7,32.568092,30.567635,29.647514,29.26757,29.560539,29.729912,32.284279,30.97963,29.967957,28.525978,29.949646,29.455254,35.89151,37.96521,36.436256,32.018768,31.107803,29.899292,36.271461,32.970932,31.158157,32.082855,31.048294,36.14328,4575329.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-3.3371582,-2.7603455,-0.5355835,-1.0849304,-0.20599365,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4575329.7
4666040112960,0.15196406,0,35.355919,33.64843,32.655067,31.277184,32.664223,33.410393,34.783707,33.99176,33.067062,30.563057,32.81987,32.6688,38.065918,40.089264,36.454567,33.849854,32.74662,32.224762,39.36599,35.259789,34.193176,34.06958,33.089951,39.356834,4575349.7,32.586403,30.558479,29.642937,29.258415,29.569695,29.743645,32.279701,30.975052,29.967957,28.525978,29.967957,29.450676,35.886932,37.960632,36.408791,32.005035,31.09407,29.90387,36.253151,32.957199,31.149002,32.0737,31.071182,36.106659,4575349.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-3.2181396,-2.7237244,-0.84686279,-1.3870544,-0.23345947,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4575349.7
4666060041184,0.17189229,0,35.360497,33.64843,32.659645,31.272606,32.6688,33.410393,34.779129,33.987183,33.062485,30.563057,32.815292,32.673378,38.070496,40.084686,36.463722,33.854431,32.74662,32.22934,39.352257,35.259789,34.193176,34.06958,33.094528,39.343102,4575369.7,32.586403,30.553902,29.65667,29.262993,29.569695,29.734489,32.275124,30.975052,29.986267,28.525978,29.963379,29.464409,35.900665,37.960632,36.422523,32.009613,31.107803,29.917603,36.257729,32.984665,31.162735,32.087433,31.052872,36.115814,4575369.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-2.9983826,-2.6871033,-0.51727295,-1.3138123,-0.16021729,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4575369.7
