t_recv_ns,t_s,t_stamp_ns,current_motion_task
4665899982752,0,0,joint_bridge
4666099979296,0.19999654,0,joint_bridge
4666299976416,0.39999366,0,joint_bridge
4666499942400,0.59995965,0,joint_bridge
4666699960960,0.79997821,0,joint_bridge
4666899948192,0.99996544,0,joint_bridge
4667099915488,1.1999327,0,joint_bridge
4667299910464,1.3999277,0,joint_bridge
4667499902240,1.5999195,0,joint_bridge
4667700004032,1.8000213,0,joint_bridge
4667899889248,1.9999065,0,joint_bridge
4668099883424,2.1999007,0,joint_bridge
4668299885248,2.3999025,0,joint_bridge
4668499856864,2.5998741,0,joint_bridge
4668699850400,2.7998676,0,joint_bridge
4668899835968,2.9998532,0,joint_bridge
4669099821408,3.1998387,0,joint_bridge
4669299827936,3.3998452,0,joint_bridge
4669499812096,3.5998293,0,joint_bridge
4669699798240,3.7998155,0,joint_bridge
4669899786176,3.9998034,0,joint_bridge
4670099769056,4.1997863,0,joint_bridge
4670299769248,4.3997865,0,joint_bridge
4670499762720,4.59978,0,joint_bridge
4670699755424,4.7997727,0,joint_bridge
4670899817984,4.9998352,0,joint_bridge
4671099744192,5.1997614,0,joint_bridge
4671299717184,5.3997344,0,joint_bridge
4671499707776,5.599725,0,joint_bridge
4671699702784,5.79972,0,joint_bridge
4671899695136,5.9997124,0,joint_bridge
4672099688928,6.1997062,0,joint_bridge
4672299672416,6.3996897,0,joint_bridge
4672499664896,6.5996821,0,joint_bridge
4672699646720,6.799664,0,joint_bridge
4672899672032,6.9996893,0,joint_bridge
4673099630304,7.1996476,0,joint_bridge
4673299614656,7.3996319,0,joint_bridge
4673499607392,7.5996246,0,joint_bridge
4673699652032,7.7996693,0,joint_bridge
4673899690016,7.9997073,0,joint_bridge
4674099580576,8.1995978,0,joint_bridge
4674299576928,8.3995942,0,joint_bridge
4674499569408,8.5995867,0,joint_bridge
4674699575616,8.7995929,0,joint_bridge
4674899559296,8.9995765,0,joint_bridge
4675099539136,9.1995564,0,joint_bridge
4675299550912,9.3995682,0,joint_bridge
4675499530976,9.5995482,0,joint_bridge
4675699595328,9.7996126,0,joint_bridge
4675899517632,9.9995349,0,joint_bridge
4676099499712,10.199517,0,joint_bridge
4676299488384,10.399506,0,joint_bridge
4676499484672,10.599502,0,joint_bridge
4676699481120,10.799498,0,joint_bridge
4676899538528,10.999556,0,joint_bridge
4677099453024,11.19947,0,joint_bridge
4677299449792,11.399467,0,joint_bridge
4677499466720,11.599484,0,joint_bridge
4677699440384,11.799458,0,joint_bridge
4677899420704,11.999438,0,joint_bridge
4678099452672,12.19947,0,joint_bridge
4678299449600,12.399467,0,joint_bridge
4678499409376,12.599427,0,joint_bridge
4678699466240,12.799483,0,joint_bridge
4678899473536,12.999491,0,joint_bridge
4679099414336,13.199432,0,joint_bridge
4679299387136,13.399404,0,joint_bridge
4679499364896,13.599382,0,joint_bridge
4679699341824,13.799359,0,joint_bridge
4679899444640,13.999462,0,joint_bridge
4680099361408,14.199379,0,joint_bridge
4680299313696,14.399331,0,joint_bridge
4680499289504,14.599307,0,joint_bridge
4680699272736,14.79929,0,joint_bridge
4680899279008,14.999296,0,joint_bridge
4681099280064,15.199297,0,joint_bridge
4681299248160,15.399265,0,joint_bridge
4681499246144,15.599263,0,joint_bridge
4681699246304,15.799264,0,joint_bridge
4681899236640,15.999254,0,joint_bridge
4682099213440,16.199231,0,joint_bridge
4682299243264,16.399261,0,joint_bridge
4682499186912,16.599204,0,joint_bridge
4682699188960,16.799206,0,joint_bridge
4682899253728,16.999271,0,joint_bridge
4683099158432,17.199176,0,joint_bridge
4683299170912,17.399188,0,joint_bridge
4683499162784,17.59918,0,joint_bridge
4683699150464,17.799168,0,joint_bridge
4683899120992,17.999138,0,joint_bridge
4684099099008,18.199116,0,joint_bridge
4684299093568,18.399111,0,joint_bridge
4684499107008,18.599124,0,joint_bridge
4684699073536,18.799091,0,joint_bridge
4684899076960,18.999094,0,joint_bridge
4685099063456,19.199081,0,joint_bridge
4685299067872,19.399085,0,joint_bridge
4685499040832,19.599058,0,joint_bridge
4685699053600,19.799071,0,joint_bridge
4685899086816,19.999104,0,joint_bridge
4686099033856,20.199051,0,joint_bridge
4686299041952,20.399059,0,joint_bridge
4686499014432,20.599032,0,joint_bridge
4686698984000,20.799001,0,joint_bridge
4686898998592,20.999016,0,joint_bridge
4687098962720,21.19898,0,joint_bridge
4687298940416,21.398958,0,joint_bridge
4687498947456,21.598965,0,joint_bridge
4687698936384,21.798954,0,joint_bridge
4687898931200,21.998948,0,joint_bridge
4688098923136,22.19894,0,joint_bridge
4688298913376,22.398931,0,joint_bridge
4688498886848,22.598904,0,joint_bridge
4688698900960,22.798918,0,joint_bridge
4688898969632,22.998987,0,joint_bridge
4689098869248,23.198886,0,joint_bridge
4689298869088,23.398886,0,joint_bridge
4689498868928,23.598886,0,joint_bridge
4689698856928,23.798874,0,joint_bridge
4689898831904,23.998849,0,joint_bridge
4690098828416,24.198846,0,joint_bridge
4690298805088,24.398822,0,joint_bridge
4690498817408,24.598835,0,joint_bridge
4690698800160,24.798817,0,joint_bridge
4690898808896,24.998826,0,joint_bridge
4691098781120,25.198798,0,joint_bridge
4691298779584,25.398797,0,joint_bridge
4691498775616,25.598793,0,joint_bridge
4691698779648,25.798797,0,joint_bridge
4691898800448,25.998818,0,joint_bridge
4692098733216,26.19875,0,joint_bridge
4692298721504,26.398739,0,joint_bridge
4692498740768,26.598758,0,joint_bridge
4692698700096,26.798717,0,joint_bridge
4692898702656,26.99872,0,joint_bridge
4693098689440,27.198707,0,joint_bridge
4693298679392,27.398697,0,joint_bridge
4693498655136,27.598672,0,joint_bridge
4693698657632,27.798675,0,joint_bridge
4693898638432,27.998656,0,joint_bridge
4694098656608,28.198674,0,joint_bridge
4694298634336,28.398652,0,joint_bridge
4694498640544,28.598658,0,joint_bridge
4694698664064,28.798681,0,joint_bridge
4694898787776,28.998805,0,joint_bridge
4695098590912,29.198608,0,joint_bridge
4695298626912,29.398644,0,joint_bridge
4695498655456,29.598673,0,joint_bridge
4695698585952,29.798603,0,joint_bridge
4695898595040,29.998612,0,joint_bridge
4696098573280,30.198591,0,joint_bridge
4696298604192,30.398621,0,joint_bridge
4696498555968,30.598573,0,joint_bridge
4696698537344,30.798555,0,joint_bridge
4696898524832,30.998542,0,joint_bridge
4697098526848,31.198544,0,joint_bridge
4697298544416,31.398562,0,joint_bridge
4697498477568,31.598495,0,joint_bridge
4697698502944,31.79852,0,joint_bridge
