t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
4769075470400,0,1788966308047111491,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769095153120,0.01968272,1788966308067110460,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769115177376,0.039706976,1788966308087111223,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769135187104,0.059716704,1788966308107110192,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769155142336,0.079671936,1788966308127110353,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769175252160,0.09978176,1788966308147111321,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769195149888,0.11967949,1788966308167110721,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769215142304,0.1396719,1788966308187110810,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769235278144,0.15980774,1788966308207110587,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769255165760,0.17969536,1788966308227111694,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769275431136,0.19996074,1788966308247110137,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769295089248,0.21961885,1788966308267109562,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769315155392,0.23968499,1788966308287110025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769335207264,0.25973686,1788966308307115097,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769355168160,0.27969776,1788966308327112925,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769375182848,0.29971245,1788966308347112652,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769395147520,0.31967712,1788966308367110562,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769415172320,0.33970192,1788966308387110561,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769435183136,0.35971274,1788966308407110455,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769455149344,0.37967894,1788966308427110351,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769475152160,0.39968176,1788966308447110529,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769495034176,0.41956378,1788966308467110331,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4769515112992,0.43964259,1788966308487110250,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
