t_recv_ns,t_s,t_stamp_ns,frame_id,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,quaternion.w,quaternion.x,quaternion.y,quaternion.z,rpy.x,rpy.y,rpy.z
4769059029216,0,0,,0.0018564718,-0.0022863638,-0.00035945055,9.7408161,-0.429441,0.99136001,0.73980999,-0.071625002,-0.66718197,-0.049167,-0.38552885,-1.4632362,0.2142451
4769059430496,0.00040128,0,,0.0018564718,-0.0022863638,-0.00035945055,9.7408161,-0.429441,0.99136001,0.73980999,-0.071625002,-0.66718197,-0.049167,-0.38552885,-1.4632362,0.2142451
4769061419616,0.0023904,0,,0.0023088436,-0.0026181685,0.0052768633,9.8666677,-0.46758199,0.99240398,0.73980701,-0.071626,-0.66718602,-0.049157999,-0.38568548,-1.4632395,0.21441251
4769063409120,0.004379904,0,,0.0023088436,-0.0026181685,0.0052768633,9.8666677,-0.46758199,0.99240398,0.73980701,-0.071626,-0.66718602,-0.049157999,-0.38568548,-1.4632395,0.21441251
4769065160512,0.006131296,0,,0.0023088436,-0.0026181685,0.0052768633,9.8666677,-0.46758199,0.99240398,0.73980701,-0.071626,-0.66718602,-0.049157999,-0.38568548,-1.4632395,0.21441251
4769067210528,0.008181312,0,,0.0035189502,-0.0024124989,0.0038808267,9.8272018,-0.36677399,1.026531,0.73980498,-0.071627997,-0.66719002,-0.049137998,-0.38597783,-1.463239,0.21473099
4769069177216,0.010148,0,,0.0035189502,-0.0024124989,0.0038808267,9.8272018,-0.36677399,1.026531,0.73980498,-0.071627997,-0.66719002,-0.049137998,-0.38597783,-1.463239,0.21473099
4769071152736,0.01212352,0,,-0.0010829768,0.001134464,-0.00081498152,9.7059336,-0.35883901,0.95946097,0.73980498,-0.071629003,-0.667189,-0.049137,-0.38598838,-1.4632384,0.21474053
4769073148672,0.014119456,0,,-0.0010829768,0.001134464,-0.00081498152,9.7059336,-0.35883901,0.95946097,0.73980498,-0.071629003,-0.667189,-0.049137,-0.38598838,-1.4632384,0.21474053
4769075532128,0.016502912,0,,-0.0010829768,0.001134464,-0.00081498152,9.7059336,-0.35883901,0.95946097,0.73980498,-0.071629003,-0.667189,-0.049137,-0.38598838,-1.4632384,0.21474053
4769077147424,0.018118208,0,,0.00087854641,0.003423376,-0.00083826415,9.7885132,-0.423803,0.952564,0.73980999,-0.071626,-0.667184,-0.049143001,-0.38584028,-1.4632266,0.21459031
4769079151040,0.020121824,0,,0.00087854641,0.003423376,-0.00083826415,9.7885132,-0.423803,0.952564,0.73980999,-0.071626,-0.667184,-0.049143001,-0.38584028,-1.4632266,0.21459031
4769081145440,0.022116224,0,,-0.0074828023,-0.0034524357,0.0030679223,9.8663511,-0.37754199,1.000633,0.73980999,-0.071631998,-0.66718298,-0.049146,-0.38587819,-1.4632237,0.21461373
4769083149728,0.024120512,0,,-0.0074828023,-0.0034524357,0.0030679223,9.8663511,-0.37754199,1.000633,0.73980999,-0.071631998,-0.66718298,-0.049146,-0.38587819,-1.4632237,0.21461373
4769085159200,0.026129984,0,,-0.0074828023,-0.0034524357,0.0030679223,9.8663511,-0.37754199,1.000633,0.73980999,-0.071631998,-0.66718298,-0.049146,-0.38587819,-1.4632237,0.21461373
4769087144768,0.028115552,0,,-0.0047296155,-0.0048117854,5.8224184e-05,9.8184538,-0.39949101,0.99766797,0.73980302,-0.071649,-0.667189,-0.049157001,-0.38602783,-1.4632402,0.21472372
4769089192608,0.030163392,0,,-0.0047296155,-0.0048117854,5.8224184e-05,9.8184538,-0.39949101,0.99766797,0.73980302,-0.071649,-0.667189,-0.049157001,-0.38602783,-1.4632402,0.21472372
4769091062240,0.032033024,0,,-0.00056243238,-0.00255312,-0.0030905243,9.6813726,-0.35092199,0.94482601,0.739797,-0.071650997,-0.66719401,-0.049164001,-0.38601821,-1.4632567,0.21470117
4769093080288,0.034051072,0,,-0.00056243238,-0.00255312,-0.0030905243,9.6813726,-0.35092199,0.94482601,0.739797,-0.071650997,-0.66719401,-0.049164001,-0.38601821,-1.4632567,0.21470117
4769095422528,0.036393312,0,,-0.00056243238,-0.00255312,-0.0030905243,9.6813726,-0.35092199,0.94482601,0.739797,-0.071650997,-0.66719401,-0.049164001,-0.38601821,-1.4632567,0.21470117
4769097169216,0.03814,0,,0.0042754284,0.00080262454,-2.8501226e-05,9.6856432,-0.348196,0.95079601,0.73979497,-0.071644001,-0.66719699,-0.049169,-0.38588352,-1.4632684,0.21456972
4769099129920,0.040100704,0,,0.0042754284,0.00080262454,-2.8501226e-05,9.6856432,-0.348196,0.95079601,0.73979497,-0.071644001,-0.66719699,-0.049169,-0.38588352,-1.4632684,0.21456972
4769101125056,0.04209584,0,,-8.353146e-05,-0.001270268,-0.00062542128,9.7872992,-0.369389,0.98656398,0.73979497,-0.071639001,-0.66719699,-0.049171001,-0.38578854,-1.4632707,0.21447791
4769103124640,0.044095424,0,,-8.353146e-05,-0.001270268,-0.00062542128,9.7872992,-0.369389,0.98656398,0.73979497,-0.071639001,-0.66719699,-0.049171001,-0.38578854,-1.4632707,0.21447791
4769105121600,0.046092384,0,,-0.0088553643,-0.0050707399,-0.0010249621,9.826829,-0.40641299,0.98941499,0.73978901,-0.071649,-0.667202,-0.049185,-0.3857963,-1.4632873,0.2144523
4769107126784,0.048097568,0,,-0.0088553643,-0.0050707399,-0.0010249621,9.826829,-0.40641299,0.98941499,0.73978901,-0.071649,-0.667202,-0.049185,-0.3857963,-1.4632873,0.2144523
4769109134912,0.050105696,0,,-0.0088553643,-0.0050707399,-0.0010249621,9.826829,-0.40641299,0.98941499,0.73978901,-0.071649,-0.667202,-0.049185,-0.3857963,-1.4632873,0.2144523
4769111122144,0.052092928,0,,-0.0022546686,-0.0028761282,-0.0028036795,9.7438374,-0.378876,0.98252499,0.73978102,-0.071657002,-0.66720802,-0.049199,-0.3857952,-1.463309,0.2144212
4769113150080,0.054120864,0,,-0.0022546686,-0.0028761282,-0.0028036795,9.7438374,-0.378876,0.98252499,0.73978102,-0.071657002,-0.66720802,-0.049199,-0.3857952,-1.463309,0.2144212
4769115303776,0.05627456,0,,-0.0022546686,-0.0028761282,-0.0028036795,9.7438374,-0.378876,0.98252499,0.73978102,-0.071657002,-0.66720802,-0.049199,-0.3857952,-1.463309,0.2144212
4769117144704,0.058115488,0,,-0.0052271387,-0.0037328054,-0.0028389526,9.6906443,-0.345799,0.97828901,0.73977399,-0.071661003,-0.66721499,-0.049213,-0.38573951,-1.4633328,0.21433994
4769119148672,0.060119456,0,,-0.0052271387,-0.0037328054,-0.0028389526,9.6906443,-0.345799,0.97828901,0.73977399,-0.071661003,-0.66721499,-0.049213,-0.38573951,-1.4633328,0.21433994
4769121164896,0.06213568,0,,-0.003390686,-0.00034992106,-0.0015568861,9.7598028,-0.40023601,0.99894398,0.73977,-0.071666002,-0.66721797,-0.049231,-0.38561667,-1.4633456,0.214185
4769123152160,0.064122944,0,,-0.003390686,-0.00034992106,-0.0015568861,9.7598028,-0.40023601,0.99894398,0.73977,-0.071666002,-0.66721797,-0.049231,-0.38561667,-1.4633456,0.214185
4769125141472,0.066112256,0,,-0.003390686,-0.00034992106,-0.0015568861,9.7598028,-0.40023601,0.99894398,0.73977,-0.071666002,-0.66721797,-0.049231,-0.38561667,-1.4633456,0.214185
4769127142656,0.06811344,0,,-0.00090057243,-0.0017946697,0.0028313603,9.8220577,-0.465545,1.024497,0.73977,-0.071670003,-0.66721702,-0.049233999,-0.38562569,-1.4633463,0.21418295
4769129192864,0.070163648,0,,-0.00090057243,-0.0017946697,0.0028313603,9.8220577,-0.465545,1.024497,0.73977,-0.071670003,-0.66721702,-0.049233999,-0.38562569,-1.4633463,0.21418295
4769131203008,0.072173792,0,,-0.00082609924,-0.0055513515,-0.0016221265,9.7518196,-0.471838,0.99969202,0.739766,-0.071673997,-0.66722101,-0.049226999,-0.3857996,-1.4633516,0.21436243
4769133212416,0.0741832,0,,-0.00082609924,-0.0055513515,-0.0016221265,9.7518196,-0.471838,0.99969202,0.739766,-0.071673997,-0.66722101,-0.049226999,-0.3857996,-1.4633516,0.21436243
