t_recv_ns,t_s,t_stamp_ns,mos_temperature_0,mos_temperature_1,mos_temperature_2,mos_temperature_3,mos_temperature_4,mos_temperature_5,mos_temperature_6,mos_temperature_7,mos_temperature_8,mos_temperature_9,mos_temperature_10,mos_temperature_11,mos_temperature_12,mos_temperature_13,mos_temperature_14,mos_temperature_15,mos_temperature_16,mos_temperature_17,mos_temperature_18,mos_temperature_19,mos_temperature_20,mos_temperature_21,mos_temperature_22,mos_temperature_23,mos_temperature_24,motor_temperature_0,motor_temperature_1,motor_temperature_2,motor_temperature_3,motor_temperature_4,motor_temperature_5,motor_temperature_6,motor_temperature_7,motor_temperature_8,motor_temperature_9,motor_temperature_10,motor_temperature_11,motor_temperature_12,motor_temperature_13,motor_temperature_14,motor_temperature_15,motor_temperature_16,motor_temperature_17,motor_temperature_18,motor_temperature_19,motor_temperature_20,motor_temperature_21,motor_temperature_22,motor_temperature_23,motor_temperature_24,tau_cmd_0,tau_cmd_1,tau_cmd_2,tau_cmd_3,tau_cmd_4,tau_cmd_5,tau_cmd_6,tau_cmd_7,tau_cmd_8,tau_cmd_9,tau_cmd_10,tau_cmd_11,tau_cmd_12,tau_cmd_13,tau_cmd_14,tau_cmd_15,tau_cmd_16,tau_cmd_17,tau_cmd_18,tau_cmd_19,tau_cmd_20,tau_cmd_21,tau_cmd_22,tau_cmd_23,tau_cmd_24
4769058996288,0,0,35.54818,33.808655,32.787827,31.377892,32.792404,33.529411,34.930191,34.133667,33.195236,30.65461,32.925156,32.792404,38.235291,40.890366,37.228195,34.142822,32.961777,32.430763,39.530785,35.397118,34.339668,34.197754,33.213547,39.512474,4678369.7,32.732887,30.691231,29.771118,29.34539,29.661247,29.830627,32.426186,31.107803,30.09613,28.594643,30.064087,29.542229,36.056305,39.46212,38.71595,32.623024,31.588463,30.306709,36.463722,33.103683,31.318382,32.238495,31.190201,36.29435,4678369.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.40740967,-4.1702881,-0.37994385,-0.6729126,0.16021729,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4678369.7
4769075449056,0.016452768,0,35.539024,33.7995,32.787827,31.368736,32.787827,33.533989,34.930191,34.138245,33.195236,30.659187,32.934311,32.792404,38.230713,40.890366,37.223618,34.151978,32.961777,32.430763,39.526207,35.401695,34.335091,34.197754,33.222702,39.517052,4678389.7,32.72831,30.686653,29.757385,29.354546,29.65667,29.848938,32.426186,31.103226,30.109863,28.590065,30.054932,29.537651,36.051727,39.44381,38.711372,32.618446,31.579308,30.302132,36.477455,33.108261,31.309227,32.24765,31.181046,36.303505,4678389.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.46234131,-4.3259277,-0.27923584,-1.0666199,0.19683838,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4678389.7
4769095404352,0.036408064,0,35.539024,33.804077,32.787827,31.368736,32.787827,33.538567,34.934769,34.133667,33.199814,30.659187,32.934311,32.796982,38.235291,40.890366,37.228195,34.1474,32.957199,32.430763,39.530785,35.401695,34.339668,34.202332,33.218124,39.517052,4678409.7,32.714577,30.700386,29.761963,29.32708,29.652092,29.839783,32.41703,31.098648,30.100708,28.59922,30.073242,29.565117,36.060883,39.448387,38.720528,32.627602,31.597618,30.283821,36.4683,33.117416,31.286339,32.233917,31.199356,36.303505,4678409.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.88348389,-3.5935059,-0.30670166,-0.14190674,0.12359619,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4678409.7
4769115166976,0.056170688,0,35.539024,33.813232,32.787827,31.382469,32.787827,33.533989,34.934769,34.138245,33.199814,30.659187,32.934311,32.796982,38.235291,40.885788,37.228195,34.1474,32.957199,32.435341,39.530785,35.401695,34.339668,34.197754,33.218124,39.512474,4678429.7,32.714577,30.695808,29.780273,29.34539,29.679558,29.830627,32.41703,31.107803,30.105286,28.594643,30.036621,29.555962,36.070038,39.452965,38.71595,32.645912,31.57473,30.297554,36.495766,33.108261,31.318382,32.243073,31.199356,36.298927,4678429.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.70953369,-3.1174316,0.01373291,0.15106201,0.17852783,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4678429.7
4769135173600,0.076177312,0,35.54818,33.808655,32.778671,31.368736,32.792404,33.538567,34.930191,34.133667,33.199814,30.65461,32.925156,32.787827,38.235291,40.885788,37.223618,34.151978,32.957199,32.426186,39.526207,35.401695,34.339668,34.202332,33.218124,39.517052,4678449.7,32.732887,30.691231,29.757385,29.34539,29.665825,29.853516,32.421608,31.107803,30.091553,28.594643,30.064087,29.551384,36.070038,39.448387,38.71595,32.627602,31.597618,30.292976,36.477455,33.108261,31.313805,32.22934,31.208511,36.298927,4678449.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-1.0574646,-3.0716553,-0.18768311,0.38909912,0.29754639,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4678449.7
4769155131680,0.096135392,0,35.54818,33.808655,32.783249,31.368736,32.796982,33.538567,34.930191,34.133667,33.190659,30.65461,32.934311,32.792404,38.230713,40.890366,37.228195,34.151978,32.952621,32.430763,39.535362,35.397118,34.335091,34.206909,33.213547,39.512474,4678469.7,32.714577,30.691231,29.761963,29.331657,29.665825,29.82605,32.412453,31.098648,30.100708,28.590065,30.054932,29.565117,36.060883,39.439232,38.729683,32.627602,31.588463,30.306709,36.48661,33.126572,31.304649,32.233917,31.199356,36.298927,4678469.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.99334717,-2.7054138,0.21514893,0.85601807,0.12359619,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4678469.7
4769175221120,0.11622483,0,35.543602,33.808655,32.783249,31.377892,32.787827,33.538567,34.934769,34.138245,33.195236,30.65461,32.929733,32.792404,38.230713,40.890366,37.232773,34.1474,32.957199,32.426186,39.530785,35.401695,34.335091,34.197754,33.222702,39.512474,4678489.7,32.72831,30.691231,29.775696,29.340813,29.670403,29.839783,32.426186,31.107803,30.105286,28.594643,30.045776,29.555962,36.056305,39.457542,38.729683,32.641335,31.588463,30.297554,36.482033,33.112839,31.318382,32.224762,31.194778,36.308083,4678489.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-1.1581726,-2.7145691,0.26092529,0.59051514,0.086975098,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4678489.7
4769195179680,0.13618339,0,35.54818,33.804077,32.792404,31.373314,32.792404,33.529411,34.930191,34.133667,33.195236,30.659187,32.929733,32.792404,38.235291,40.88121,37.232773,34.142822,32.961777,32.421608,39.530785,35.406273,34.339668,34.197754,33.218124,39.512474,4678509.7,32.732887,30.691231,29.766541,29.317924,29.67498,29.839783,32.39872,31.098648,30.109863,28.594643,30.064087,29.555962,36.060883,39.448387,38.720528,32.641335,31.59304,30.329597,36.454567,33.108261,31.318382,32.233917,31.190201,36.289772,4678509.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-1.0849304,-2.5223083,0.16937256,0.44403076,0.2243042,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4678509.7
4769215131648,0.15613536,0,35.54818,33.804077,32.783249,31.368736,32.792404,33.533989,34.939346,34.138245,33.199814,30.650032,32.934311,32.801559,38.239868,40.890366,37.23735,34.142822,32.961777,32.421608,39.530785,35.401695,34.339668,34.202332,33.218124,39.512474,4678529.7,32.723732,30.67292,29.789429,29.340813,29.661247,29.853516,32.407875,31.098648,30.105286,28.594643,30.064087,29.569695,36.051727,39.457542,38.720528,32.632179,31.602196,30.311287,36.472878,33.112839,31.286339,32.224762,31.203934,36.31266,4678529.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-1.2405701,-2.3025818,0.086975098,0.31585693,0.21514893,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4678529.7
4769235256320,0.17626003,0,35.54818,33.804077,32.783249,31.377892,32.792404,33.533989,34.925613,34.138245,33.190659,30.65461,32.934311,32.796982,38.235291,40.890366,37.228195,34.151978,32.952621,32.426186,39.530785,35.406273,34.339668,34.202332,33.213547,39.512474,4678549.7,32.732887,30.682076,29.784851,29.336235,29.679558,29.84436,32.403297,31.103226,30.109863,28.590065,30.064087,29.551384,36.060883,39.471275,38.729683,32.641335,31.579308,30.302132,36.472878,33.135727,31.309227,32.22934,31.190201,36.317238,4678549.7,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-1.0391541,-2.375824,-0.086975098,0.2243042,0.31585693,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,4678549.7
