t_recv_ns,t_s,t_stamp_ns,current_motion_task
4769095130720,0,0,joint_bridge
4769295074144,0.19994342,0,joint_bridge
4769495071072,0.39994035,0,joint_bridge
4769695077920,0.5999472,0,joint_bridge
4769895047232,0.79991651,0,joint_bridge
4770095039328,0.99990861,0,joint_bridge
4770295083360,1.1999526,0,joint_bridge
4770495013056,1.3998823,0,joint_bridge
4770695001824,1.5998711,0,joint_bridge
4770895129504,1.7999988,0,joint_bridge
4771094983552,1.9998528,0,joint_bridge
4771294966400,2.1998357,0,joint_bridge
4771494964928,2.3998342,0,joint_bridge
4772105992320,3.0108616,0,joint_bridge
4772106017440,3.0108867,0,joint_bridge
4772106037088,3.0109064,0,joint_bridge
4772294918336,3.1997876,0,joint_bridge
4772494926368,3.3997956,0,joint_bridge
4772694943840,3.5998131,0,joint_bridge
4772894868672,3.799738,0,joint_bridge
4773094890816,3.9997601,0,joint_bridge
4773294908960,4.1997782,0,joint_bridge
4773494877504,4.3997468,0,joint_bridge
4773694874144,4.5997434,0,joint_bridge
4773894854272,4.7997236,0,joint_bridge
4774094924768,4.999794,0,joint_bridge
4774294819648,5.1996889,0,joint_bridge
4774494851296,5.3997206,0,joint_bridge
4774694804832,5.5996741,0,joint_bridge
4774894875904,5.7997452,0,joint_bridge
4775094803936,5.9996732,0,joint_bridge
4775294798816,6.1996681,0,joint_bridge
4775494803520,6.3996728,0,joint_bridge
4775694775648,6.5996449,0,joint_bridge
4775894767616,6.7996369,0,joint_bridge
4776094830688,6.9997,0,joint_bridge
4776294757344,7.1996266,0,joint_bridge
4776494727456,7.3995967,0,joint_bridge
4776694769824,7.5996391,0,joint_bridge
4776894761696,7.799631,0,joint_bridge
4777094899520,7.9997688,0,joint_bridge
4777294740576,8.1996099,0,joint_bridge
4777494770528,8.3996398,0,joint_bridge
4777694730752,8.5996,0,joint_bridge
4777894724320,8.7995936,0,joint_bridge
4778094822016,8.9996913,0,joint_bridge
4778294718144,9.1995874,0,joint_bridge
4778494663520,9.3995328,0,joint_bridge
4778695200736,9.60007,0,joint_bridge
4778894655552,9.7995248,0,joint_bridge
4779094688160,9.9995574,0,joint_bridge
4779294651744,10.199521,0,joint_bridge
4779494600288,10.39947,0,joint_bridge
4779694605376,10.599475,0,joint_bridge
4779894597024,10.799466,0,joint_bridge
4780094662592,10.999532,0,joint_bridge
4780294595232,11.199465,0,joint_bridge
4780494549600,11.399419,0,joint_bridge
4780694571488,11.599441,0,joint_bridge
4780894518912,11.799388,0,joint_bridge
4781094507968,11.999377,0,joint_bridge
4781294511232,12.199381,0,joint_bridge
4781494566112,12.399435,0,joint_bridge
4781694522464,12.599392,0,joint_bridge
4781894496320,12.799366,0,joint_bridge
4782094615392,12.999485,0,joint_bridge
4782294524544,13.199394,0,joint_bridge
4782494442464,13.399312,0,joint_bridge
4782694464480,13.599334,0,joint_bridge
4782894442240,13.799312,0,joint_bridge
4783094658592,13.999528,0,joint_bridge
4783294459776,14.199329,0,joint_bridge
4783494449344,14.399319,0,joint_bridge
4783694448608,14.599318,0,joint_bridge
4783894387840,14.799257,0,joint_bridge
4784094408576,14.999278,0,joint_bridge
4784294383232,15.199253,0,joint_bridge
4784494363648,15.399233,0,joint_bridge
4784694352864,15.599222,0,joint_bridge
4784894384416,15.799254,0,joint_bridge
4785094350080,15.999219,0,joint_bridge
4785294369184,16.199238,0,joint_bridge
4785494340256,16.39921,0,joint_bridge
4785694327168,16.599196,0,joint_bridge
4785894343072,16.799212,0,joint_bridge
4786094430912,16.9993,0,joint_bridge
4786294303072,17.199172,0,joint_bridge
4786494367616,17.399237,0,joint_bridge
4786694336480,17.599206,0,joint_bridge
4786894265024,17.799134,0,joint_bridge
4787094276992,17.999146,0,joint_bridge
4787294274848,18.199144,0,joint_bridge
4787494234784,18.399104,0,joint_bridge
4787694260512,18.59913,0,joint_bridge
4787894265728,18.799135,0,joint_bridge
4788094260832,18.99913,0,joint_bridge
4788294240288,19.19911,0,joint_bridge
4788494176992,19.399046,0,joint_bridge
4788694238272,19.599108,0,joint_bridge
4788894245728,19.799115,0,joint_bridge
4789094250080,19.999119,0,joint_bridge
4789294162112,20.199031,0,joint_bridge
4789494115936,20.398985,0,joint_bridge
4789694181984,20.599051,0,joint_bridge
4789894100832,20.79897,0,joint_bridge
4790094088192,20.998957,0,joint_bridge
4790294108544,21.198978,0,joint_bridge
4790494080960,21.39895,0,joint_bridge
4790694089216,21.598958,0,joint_bridge
4790894159168,21.799028,0,joint_bridge
4791094044352,21.998914,0,joint_bridge
4791294041952,22.198911,0,joint_bridge
4791494050432,22.39892,0,joint_bridge
4791694038624,22.598908,0,joint_bridge
4791894041632,22.798911,0,joint_bridge
4792094143296,22.999013,0,joint_bridge
4792294047712,23.198917,0,joint_bridge
4792494001472,23.398871,0,joint_bridge
4792694005728,23.598875,0,joint_bridge
4792893960352,23.79883,0,joint_bridge
4793093981248,23.998851,0,joint_bridge
